pos,sample,xls,condition,normalised_counts
204,HA,29,H,0.1810802372775523
205,HA,11,H,0.06868560724320949
206,HA,37,H,0.23103340618170465
207,HA,15,H,0.09366219169528567
208,HA,23,H,0.14361536059943802
209,HA,18,H,0.1123946300343428
210,HA,31,H,0.19356852950359038
211,HA,37,H,0.23103340618170465
212,HA,26,H,0.16234779893849516
213,HA,22,H,0.13737121448641898
214,HA,38,H,0.2372775522947237
215,HA,8,H,0.049953168904152356
216,HA,4,H,0.024976584452076178
217,HA,2,H,0.012488292226038089
218,HA,2,H,0.012488292226038089
219,HA,2,H,0.012488292226038089
220,HA,4,H,0.024976584452076178
221,HA,7,H,0.04370902279113331
222,HA,30,H,0.18732438339057134
223,HA,17,H,0.10615048392132376
224,HA,6,H,0.03746487667811427
225,HA,13,H,0.08117389946924758
226,HA,10,H,0.062441461130190445
227,HA,5,H,0.031220730565095223
228,HA,2,H,0.012488292226038089
229,HA,7,H,0.04370902279113331
230,HA,2,H,0.012488292226038089
231,HA,4,H,0.024976584452076178
232,HA,3,H,0.018732438339057134
233,HA,1,H,0.0062441461130190445
234,HA,14,H,0.08741804558226662
235,HA,3,H,0.018732438339057134
236,HA,6,H,0.03746487667811427
237,HA,6,H,0.03746487667811427
238,HA,3,H,0.018732438339057134
240,HA,1,H,0.0062441461130190445
241,HA,1,H,0.0062441461130190445
244,HA,3,H,0.018732438339057134
245,HA,10,H,0.062441461130190445
247,HA,3,H,0.018732438339057134
248,HA,6,H,0.03746487667811427
249,HA,3,H,0.018732438339057134
250,HA,6,H,0.03746487667811427
251,HA,8,H,0.049953168904152356
252,HA,2,H,0.012488292226038089
253,HA,4,H,0.024976584452076178
254,HA,1,H,0.0062441461130190445
255,HA,7,H,0.04370902279113331
256,HA,4,H,0.024976584452076178
257,HA,3,H,0.018732438339057134
258,HA,2,H,0.012488292226038089
259,HA,3,H,0.018732438339057134
260,HA,5,H,0.031220730565095223
261,HA,2,H,0.012488292226038089
262,HA,1,H,0.0062441461130190445
263,HA,5,H,0.031220730565095223
264,HA,2,H,0.012488292226038089
265,HA,11,H,0.06868560724320949
266,HA,4,H,0.024976584452076178
267,HA,5,H,0.031220730565095223
268,HA,4,H,0.024976584452076178
269,HA,3,H,0.018732438339057134
270,HA,7,H,0.04370902279113331
271,HA,24,H,0.14985950671245707
272,HA,15,H,0.09366219169528567
273,HA,28,H,0.17483609116453325
274,HA,25,H,0.1561036528254761
275,HA,15,H,0.09366219169528567
276,HA,12,H,0.07492975335622853
277,HA,3,H,0.018732438339057134
278,HA,3,H,0.018732438339057134
279,HA,4,H,0.024976584452076178
280,HA,8,H,0.049953168904152356
281,HA,19,H,0.11863877614736185
282,HA,5,H,0.031220730565095223
283,HA,19,H,0.11863877614736185
284,HA,2,H,0.012488292226038089
285,HA,7,H,0.04370902279113331
286,HA,6,H,0.03746487667811427
287,HA,1,H,0.0062441461130190445
288,HA,6,H,0.03746487667811427
289,HA,1,H,0.0062441461130190445
290,HA,5,H,0.031220730565095223
291,HA,6,H,0.03746487667811427
292,HA,2,H,0.012488292226038089
293,HA,4,H,0.024976584452076178
294,HA,4,H,0.024976584452076178
295,HA,3,H,0.018732438339057134
296,HA,1,H,0.0062441461130190445
297,HA,3,H,0.018732438339057134
298,HA,11,H,0.06868560724320949
299,HA,2,H,0.012488292226038089
300,HA,1,H,0.0062441461130190445
301,HA,6,H,0.03746487667811427
302,HA,7,H,0.04370902279113331
303,HA,1,H,0.0062441461130190445
304,HA,1,H,0.0062441461130190445
305,HA,10,H,0.062441461130190445
306,HA,3,H,0.018732438339057134
307,HA,1,H,0.0062441461130190445
309,HA,4,H,0.024976584452076178
310,HA,4,H,0.024976584452076178
311,HA,14,H,0.08741804558226662
312,HA,15,H,0.09366219169528567
313,HA,7,H,0.04370902279113331
314,HA,8,H,0.049953168904152356
315,HA,3,H,0.018732438339057134
316,HA,2,H,0.012488292226038089
317,HA,4,H,0.024976584452076178
318,HA,4,H,0.024976584452076178
319,HA,2,H,0.012488292226038089
320,HA,3,H,0.018732438339057134
322,HA,7,H,0.04370902279113331
323,HA,3,H,0.018732438339057134
324,HA,2,H,0.012488292226038089
325,HA,5,H,0.031220730565095223
326,HA,6,H,0.03746487667811427
327,HA,6,H,0.03746487667811427
328,HA,1,H,0.0062441461130190445
329,HA,2,H,0.012488292226038089
330,HA,2,H,0.012488292226038089
331,HA,5,H,0.031220730565095223
332,HA,5,H,0.031220730565095223
333,HA,4,H,0.024976584452076178
334,HA,2,H,0.012488292226038089
335,HA,3,H,0.018732438339057134
336,HA,3,H,0.018732438339057134
337,HA,6,H,0.03746487667811427
338,HA,3,H,0.018732438339057134
339,HA,14,H,0.08741804558226662
340,HA,29,H,0.1810802372775523
341,HA,13,H,0.08117389946924758
342,HA,8,H,0.049953168904152356
343,HA,4,H,0.024976584452076178
344,HA,10,H,0.062441461130190445
345,HA,2,H,0.012488292226038089
346,HA,11,H,0.06868560724320949
347,HA,11,H,0.06868560724320949
348,HA,6,H,0.03746487667811427
349,HA,4,H,0.024976584452076178
350,HA,2,H,0.012488292226038089
351,HA,1,H,0.0062441461130190445
352,HA,8,H,0.049953168904152356
353,HA,2,H,0.012488292226038089
354,HA,6,H,0.03746487667811427
355,HA,7,H,0.04370902279113331
356,HA,5,H,0.031220730565095223
357,HA,14,H,0.08741804558226662
358,HA,11,H,0.06868560724320949
359,HA,9,H,0.0561973150171714
360,HA,9,H,0.0561973150171714
361,HA,26,H,0.16234779893849516
362,HA,11,H,0.06868560724320949
363,HA,3,H,0.018732438339057134
364,HA,2,H,0.012488292226038089
365,HA,2,H,0.012488292226038089
366,HA,2,H,0.012488292226038089
367,HA,2,H,0.012488292226038089
368,HA,8,H,0.049953168904152356
369,HA,10,H,0.062441461130190445
370,HA,5,H,0.031220730565095223
371,HA,4,H,0.024976584452076178
372,HA,3,H,0.018732438339057134
373,HA,2,H,0.012488292226038089
374,HA,9,H,0.0561973150171714
375,HA,2,H,0.012488292226038089
376,HA,6,H,0.03746487667811427
377,HA,6,H,0.03746487667811427
378,HA,14,H,0.08741804558226662
379,HA,7,H,0.04370902279113331
380,HA,4,H,0.024976584452076178
381,HA,16,H,0.09990633780830471
382,HA,3,H,0.018732438339057134
383,HA,2,H,0.012488292226038089
384,HA,1,H,0.0062441461130190445
385,HA,9,H,0.0561973150171714
386,HA,5,H,0.031220730565095223
387,HA,4,H,0.024976584452076178
388,HA,2,H,0.012488292226038089
389,HA,6,H,0.03746487667811427
390,HA,14,H,0.08741804558226662
391,HA,6,H,0.03746487667811427
392,HA,2,H,0.012488292226038089
394,HA,3,H,0.018732438339057134
395,HA,1,H,0.0062441461130190445
396,HA,4,H,0.024976584452076178
398,HA,5,H,0.031220730565095223
399,HA,2,H,0.012488292226038089
400,HA,3,H,0.018732438339057134
403,HA,1,H,0.0062441461130190445
404,HA,5,H,0.031220730565095223
405,HA,6,H,0.03746487667811427
406,HA,7,H,0.04370902279113331
407,HA,1,H,0.0062441461130190445
408,HA,1,H,0.0062441461130190445
409,HA,1,H,0.0062441461130190445
410,HA,11,H,0.06868560724320949
411,HA,13,H,0.08117389946924758
412,HA,3,H,0.018732438339057134
413,HA,7,H,0.04370902279113331
414,HA,1,H,0.0062441461130190445
415,HA,2,H,0.012488292226038089
416,HA,6,H,0.03746487667811427
418,HA,3,H,0.018732438339057134
419,HA,16,H,0.09990633780830471
420,HA,15,H,0.09366219169528567
421,HA,23,H,0.14361536059943802
422,HA,16,H,0.09990633780830471
423,HA,18,H,0.1123946300343428
424,HA,16,H,0.09990633780830471
425,HA,60,H,0.3746487667811427
426,HA,77,H,0.48079925070246643
427,HA,21,H,0.13112706837339994
428,HA,2,H,0.012488292226038089
429,HA,9,H,0.0561973150171714
430,HA,5,H,0.031220730565095223
431,HA,8,H,0.049953168904152356
432,HA,14,H,0.08741804558226662
433,HA,20,H,0.12488292226038089
434,HA,10,H,0.062441461130190445
435,HA,5,H,0.031220730565095223
436,HA,7,H,0.04370902279113331
437,HA,17,H,0.10615048392132376
438,HA,17,H,0.10615048392132376
439,HA,4,H,0.024976584452076178
440,HA,2,H,0.012488292226038089
441,HA,7,H,0.04370902279113331
442,HA,4,H,0.024976584452076178
443,HA,4,H,0.024976584452076178
444,HA,2,H,0.012488292226038089
445,HA,3,H,0.018732438339057134
446,HA,1,H,0.0062441461130190445
447,HA,1,H,0.0062441461130190445
448,HA,2,H,0.012488292226038089
449,HA,3,H,0.018732438339057134
450,HA,3,H,0.018732438339057134
451,HA,2,H,0.012488292226038089
453,HA,5,H,0.031220730565095223
454,HA,3,H,0.018732438339057134
455,HA,6,H,0.03746487667811427
456,HA,10,H,0.062441461130190445
457,HA,6,H,0.03746487667811427
458,HA,4,H,0.024976584452076178
461,HA,1,H,0.0062441461130190445
462,HA,5,H,0.031220730565095223
463,HA,3,H,0.018732438339057134
464,HA,6,H,0.03746487667811427
465,HA,4,H,0.024976584452076178
466,HA,4,H,0.024976584452076178
467,HA,7,H,0.04370902279113331
468,HA,2,H,0.012488292226038089
469,HA,12,H,0.07492975335622853
470,HA,13,H,0.08117389946924758
471,HA,19,H,0.11863877614736185
472,HA,30,H,0.18732438339057134
473,HA,31,H,0.19356852950359038
474,HA,10,H,0.062441461130190445
475,HA,14,H,0.08741804558226662
476,HA,8,H,0.049953168904152356
477,HA,10,H,0.062441461130190445
478,HA,3,H,0.018732438339057134
480,HA,6,H,0.03746487667811427
482,HA,6,H,0.03746487667811427
483,HA,1,H,0.0062441461130190445
484,HA,8,H,0.049953168904152356
485,HA,5,H,0.031220730565095223
486,HA,6,H,0.03746487667811427
487,HA,11,H,0.06868560724320949
488,HA,23,H,0.14361536059943802
489,HA,18,H,0.1123946300343428
490,HA,19,H,0.11863877614736185
491,HA,19,H,0.11863877614736185
492,HA,46,H,0.28723072119887605
493,HA,15,H,0.09366219169528567
494,HA,13,H,0.08117389946924758
495,HA,13,H,0.08117389946924758
496,HA,25,H,0.1561036528254761
497,HA,45,H,0.280986575085857
498,HA,71,H,0.44333437402435216
499,HA,32,H,0.19981267561660943
500,HA,83,H,0.5182641273805807
501,HA,344,H,2.1479862628785513
502,HA,76,H,0.4745551045894474
503,HA,81,H,0.5057758351545426
504,HA,36,H,0.2247892600686856
505,HA,21,H,0.13112706837339994
506,HA,21,H,0.13112706837339994
507,HA,26,H,0.16234779893849516
508,HA,27,H,0.1685919450515142
509,HA,27,H,0.1685919450515142
510,HA,77,H,0.48079925070246643
511,HA,280,H,1.7483609116453325
512,HA,76,H,0.4745551045894474
513,HA,87,H,0.5432407118326569
514,HA,99,H,0.6181704651888854
515,HA,117,H,0.7305650952232282
516,HA,41,H,0.2560099906337808
517,HA,35,H,0.21854511395566656
518,HA,63,H,0.3933812051201998
519,HA,95,H,0.5931938807368092
520,HA,19,H,0.11863877614736185
521,HA,83,H,0.5182641273805807
522,HA,119,H,0.7430533874492663
523,HA,305,H,1.9044645644708087
524,HA,80,H,0.49953168904152356
525,HA,142,H,0.8866687480487043
526,HA,115,H,0.7180768029971901
527,HA,103,H,0.6431470496409616
528,HA,53,H,0.33093974399000936
529,HA,63,H,0.3933812051201998
530,HA,129,H,0.8054948485794567
531,HA,60,H,0.3746487667811427
532,HA,62,H,0.38713705900718076
533,HA,96,H,0.5994380268498283
534,HA,112,H,0.699344364658133
535,HA,147,H,0.9178894786137995
536,HA,33,H,0.20605682172962847
537,HA,44,H,0.27474242897283796
538,HA,43,H,0.2684982828598189
539,HA,639,H,3.9900093662191694
540,HA,220,H,1.3737121448641898
541,HA,327,H,2.0418357789572275
542,HA,159,H,0.9928192319700281
543,HA,51,H,0.31845145176397127
544,HA,65,H,0.4058694973462379
545,HA,47,H,0.2934748673118951
546,HA,117,H,0.7305650952232282
547,HA,38,H,0.2372775522947237
548,HA,23,H,0.14361536059943802
549,HA,107,H,0.6681236340930378
550,HA,124,H,0.7742741180143615
551,HA,98,H,0.6119263190758664
552,HA,211,H,1.3175148298470185
553,HA,102,H,0.6369029035279425
554,HA,61,H,0.3808929128941617
555,HA,16,H,0.09990633780830471
556,HA,29,H,0.1810802372775523
557,HA,99,H,0.6181704651888854
558,HA,49,H,0.3059631595379332
559,HA,19,H,0.11863877614736185
560,HA,20,H,0.12488292226038089
561,HA,138,H,0.8616921635966281
562,HA,535,H,3.3406181704651887
563,HA,49,H,0.3059631595379332
564,HA,59,H,0.36840462066812363
565,HA,36,H,0.2247892600686856
566,HA,23,H,0.14361536059943802
567,HA,37,H,0.23103340618170465
568,HA,53,H,0.33093974399000936
569,HA,170,H,1.0615048392132376
570,HA,66,H,0.41211364345925694
571,HA,21,H,0.13112706837339994
572,HA,25,H,0.1561036528254761
573,HA,47,H,0.2934748673118951
574,HA,511,H,3.1907586637527316
575,HA,64,H,0.39962535123321885
576,HA,71,H,0.44333437402435216
577,HA,24,H,0.14985950671245707
578,HA,169,H,1.0552606931002186
579,HA,235,H,1.4673743365594756
580,HA,133,H,0.8304714330315329
581,HA,317,H,1.9793943178270372
582,HA,447,H,2.791133312519513
583,HA,69,H,0.4308460817983141
584,HA,114,H,0.7118326568841711
585,HA,345,H,2.1542304089915705
586,HA,740,H,4.620668123634093
587,HA,113,H,0.705588510771152
588,HA,74,H,0.4620668123634093
589,HA,163,H,1.0177958164221044
590,HA,202,H,1.261317514829847
591,HA,119,H,0.7430533874492663
592,HA,80,H,0.49953168904152356
593,HA,253,H,1.5797689665938184
594,HA,179,H,1.117702154230409
595,HA,28,H,0.17483609116453325
596,HA,61,H,0.3808929128941617
597,HA,127,H,0.7930065563534187
598,HA,353,H,2.204183577895723
599,HA,145,H,0.9054011863877615
600,HA,100,H,0.6244146113019045
601,HA,109,H,0.6806119263190759
602,HA,337,H,2.104277240087418
603,HA,203,H,1.2675616609428662
604,HA,117,H,0.7305650952232282
605,HA,153,H,0.9553543552919138
606,HA,93,H,0.5807055885107711
607,HA,18,H,0.1123946300343428
608,HA,18,H,0.1123946300343428
609,HA,63,H,0.3933812051201998
610,HA,74,H,0.4620668123634093
611,HA,48,H,0.29971901342491414
612,HA,18,H,0.1123946300343428
613,HA,91,H,0.568217296284733
614,HA,101,H,0.6306587574149235
615,HA,365,H,2.2791133312519514
616,HA,211,H,1.3175148298470185
617,HA,148,H,0.9241336247268186
618,HA,213,H,1.3300031220730566
619,HA,47,H,0.2934748673118951
620,HA,57,H,0.35591632844208554
621,HA,89,H,0.555729004058695
622,HA,100,H,0.6244146113019045
623,HA,93,H,0.5807055885107711
624,HA,63,H,0.3933812051201998
625,HA,122,H,0.7617858257883234
626,HA,155,H,0.9678426475179519
627,HA,25,H,0.1561036528254761
628,HA,37,H,0.23103340618170465
629,HA,219,H,1.3674679987511709
630,HA,505,H,3.1532937870746176
631,HA,180,H,1.123946300343428
632,HA,241,H,1.5048392132375898
633,HA,87,H,0.5432407118326569
634,HA,14,H,0.08741804558226662
635,HA,23,H,0.14361536059943802
636,HA,82,H,0.5120199812675617
637,HA,67,H,0.418357789572276
638,HA,11,H,0.06868560724320949
639,HA,31,H,0.19356852950359038
640,HA,93,H,0.5807055885107711
641,HA,297,H,1.8545113955666563
642,HA,23,H,0.14361536059943802
643,HA,18,H,0.1123946300343428
644,HA,100,H,0.6244146113019045
645,HA,24,H,0.14985950671245707
646,HA,37,H,0.23103340618170465
647,HA,36,H,0.2247892600686856
648,HA,78,H,0.4870433968154855
649,HA,58,H,0.3621604745551046
650,HA,5,H,0.031220730565095223
651,HA,25,H,0.1561036528254761
652,HA,98,H,0.6119263190758664
653,HA,290,H,1.810802372775523
654,HA,21,H,0.13112706837339994
655,HA,23,H,0.14361536059943802
656,HA,68,H,0.42460193568529503
657,HA,100,H,0.6244146113019045
658,HA,106,H,0.6618794879800187
659,HA,87,H,0.5432407118326569
660,HA,144,H,0.8991570402747424
661,HA,133,H,0.8304714330315329
662,HA,43,H,0.2684982828598189
663,HA,185,H,1.1551670309085234
664,HA,349,H,2.1792069934436467
665,HA,1188,H,7.418045582266625
666,HA,219,H,1.3674679987511709
667,HA,253,H,1.5797689665938184
668,HA,309,H,1.9294411489228849
669,HA,196,H,1.2238526381517327
670,HA,328,H,2.0480799250702466
671,HA,496,H,3.097096472057446
672,HA,617,H,3.8526381517327506
673,HA,396,H,2.4726818607555416
674,HA,183,H,1.1426787386824853
675,HA,273,H,1.7046518888541993
676,HA,167,H,1.0427724008741805
677,HA,270,H,1.685919450515142
678,HA,155,H,0.9678426475179519
679,HA,221,H,1.379956290977209
680,HA,453,H,2.8285981891976273
681,HA,359,H,2.241648454573837
682,HA,162,H,1.0115516703090852
683,HA,133,H,0.8304714330315329
684,HA,238,H,1.4861067748985326
685,HA,301,H,1.8794879800187325
686,HA,143,H,0.8929128941617234
687,HA,301,H,1.8794879800187325
688,HA,369,H,2.3040899157040275
689,HA,456,H,2.8473306275366843
690,HA,167,H,1.0427724008741805
691,HA,297,H,1.8545113955666563
692,HA,455,H,2.841086481423665
693,HA,1158,H,7.230721198876053
694,HA,74,H,0.4620668123634093
695,HA,62,H,0.38713705900718076
696,HA,152,H,0.9491102091788948
697,HA,286,H,1.7858257883234467
698,HA,142,H,0.8866687480487043
699,HA,206,H,1.2862940992819232
700,HA,419,H,2.6162972213549796
701,HA,2081,H,12.994068061192632
702,HA,1262,H,7.880112394630034
703,HA,1404,H,8.766781142678738
704,HA,168,H,1.0490165469871995
705,HA,62,H,0.38713705900718076
706,HA,57,H,0.35591632844208554
707,HA,46,H,0.28723072119887605
708,HA,94,H,0.5869497346237902
709,HA,174,H,1.0864814236653138
710,HA,179,H,1.117702154230409
711,HA,271,H,1.6921635966281612
712,HA,229,H,1.4299094598813613
713,HA,561,H,3.502965969403684
714,HA,274,H,1.7108960349672182
715,HA,209,H,1.3050265376209804
716,HA,142,H,0.8866687480487043
717,HA,109,H,0.6806119263190759
718,HA,40,H,0.24976584452076178
719,HA,141,H,0.8804246019356853
720,HA,157,H,0.98033093974399
721,HA,107,H,0.6681236340930378
722,HA,298,H,1.8607555416796753
723,HA,47,H,0.2934748673118951
724,HA,50,H,0.3122073056509522
725,HA,97,H,0.6056821729628473
726,HA,153,H,0.9553543552919138
727,HA,462,H,2.884795504214799
728,HA,69,H,0.4308460817983141
729,HA,92,H,0.5744614423977521
730,HA,59,H,0.36840462066812363
731,HA,195,H,1.2176084920387138
732,HA,183,H,1.1426787386824853
733,HA,107,H,0.6681236340930378
734,HA,45,H,0.280986575085857
735,HA,49,H,0.3059631595379332
736,HA,96,H,0.5994380268498283
737,HA,422,H,2.635029659694037
738,HA,126,H,0.7867624102403996
739,HA,136,H,0.8492038713705901
740,HA,227,H,1.4174211676553232
741,HA,1050,H,6.556353418669997
742,HA,264,H,1.6484545738370278
743,HA,371,H,2.3165782079300654
744,HA,144,H,0.8991570402747424
745,HA,55,H,0.34342803621604745
746,HA,91,H,0.568217296284733
747,HA,498,H,3.1095847642834844
748,HA,887,H,5.538557602247892
749,HA,83,H,0.5182641273805807
750,HA,109,H,0.6806119263190759
751,HA,216,H,1.3487355604121136
752,HA,713,H,4.452076178582579
753,HA,302,H,1.8857321261317515
754,HA,292,H,1.823290665001561
755,HA,397,H,2.478926006868561
756,HA,495,H,3.090852325944427
757,HA,320,H,1.9981267561660943
758,HA,314,H,1.96066187948798
759,HA,445,H,2.778645020293475
760,HA,158,H,0.986575085857009
761,HA,132,H,0.8242272869185139
762,HA,249,H,1.5547923821417422
763,HA,289,H,1.804558226662504
764,HA,1085,H,6.774898532625664
765,HA,118,H,0.7368092413362473
766,HA,93,H,0.5807055885107711
767,HA,268,H,1.673431158289104
768,HA,144,H,0.8991570402747424
769,HA,81,H,0.5057758351545426
770,HA,64,H,0.39962535123321885
771,HA,194,H,1.2113643459256946
772,HA,68,H,0.42460193568529503
773,HA,59,H,0.36840462066812363
774,HA,22,H,0.13737121448641898
775,HA,102,H,0.6369029035279425
776,HA,139,H,0.8679363097096472
777,HA,402,H,2.510146737433656
778,HA,248,H,1.548548236028723
779,HA,366,H,2.2853574773649705
780,HA,106,H,0.6618794879800187
781,HA,47,H,0.2934748673118951
782,HA,47,H,0.2934748673118951
783,HA,151,H,0.9428660630658757
784,HA,192,H,1.1988760536996566
785,HA,54,H,0.3371838901030284
786,HA,51,H,0.31845145176397127
787,HA,137,H,0.8554480174836091
788,HA,241,H,1.5048392132375898
789,HA,49,H,0.3059631595379332
790,HA,140,H,0.8741804558226662
791,HA,188,H,1.1738994692475804
792,HA,215,H,1.3424914142990947
793,HA,93,H,0.5807055885107711
794,HA,358,H,2.235404308460818
795,HA,297,H,1.8545113955666563
796,HA,381,H,2.379019669060256
797,HA,43,H,0.2684982828598189
798,HA,67,H,0.418357789572276
