chr,start,end.x,score1,end.y,score2,total
chr19,17603478,17603479,1,0,0,1
chr19,17603486,17603487,1,0,0,1
chr19,17603490,17603491,1,0,0,1
chr19,17603508,17603509,1,0,0,1
chr19,17603517,17603518,1,0,0,1
chr19,17603518,17603519,1,0,0,1
chr19,17603523,17603524,1,0,0,1
chr19,17603539,17603540,2,0,0,2
chr19,17603541,17603542,1,0,0,1
chr19,17603566,17603567,1,0,0,1
chr19,17603608,17603609,2,0,0,2
chr19,17603613,17603614,1,0,0,1
chr19,17603626,17603627,1,0,0,1
chr19,17603628,17603629,1,0,0,1
chr19,17603654,17603655,1,0,0,1
chr19,17603673,17603674,1,0,0,1
chr19,17603678,17603679,1,0,0,1
chr19,17603690,17603691,1,0,0,1
chr19,17603694,17603695,1,0,0,1
chr19,17603700,17603701,1,0,0,1
chr19,17603716,17603717,1,0,0,1
chr19,17603717,17603718,1,0,0,1
chr19,17603719,17603720,1,0,0,1
chr19,17603765,17603766,1,0,0,1
chr19,17603770,17603771,1,0,0,1
chr19,17603868,17603869,1,0,0,1
chr19,17604046,17604047,1,0,0,1
chr19,17604076,17604077,1,0,0,1
chr19,17604087,17604088,1,0,0,1
chr19,17604190,17604191,1,0,0,1
chr19,17604203,17604204,1,0,0,1
chr19,17604242,17604243,1,0,0,1
chr19,17604282,17604283,2,0,0,2
chr19,17604284,17604285,1,0,0,1
chr19,17604304,17604305,1,0,0,1
chr19,17604336,17604337,1,0,0,1
chr19,17604384,17604385,1,0,0,1
chr19,17604385,17604386,1,0,0,1
chr19,17604410,17604411,1,0,0,1
chr19,17604441,17604442,1,0,0,1
chr19,17604495,17604496,1,0,0,1
chr19,17604523,17604524,1,0,0,1
chr19,17604535,17604536,1,0,0,1
chr19,17604560,17604561,1,0,0,1
chr19,17604561,17604562,1,0,0,1
chr19,17604567,17604568,1,0,0,1
chr19,17604571,17604572,1,0,0,1
chr19,17604591,17604592,1,0,0,1
chr19,17604633,17604634,1,0,0,1
chr19,17604639,17604640,1,0,0,1
chr19,17604665,17604666,1,0,0,1
chr19,17604679,17604680,1,0,0,1
chr19,17604702,17604703,1,0,0,1
chr19,17604710,17604711,1,0,0,1
chr19,17604724,17604725,1,0,0,1
chr19,17604734,17604735,1,0,0,1
chr19,17604745,17604746,1,0,0,1
chr19,17604767,17604768,1,0,0,1
chr19,17604793,17604794,1,0,0,1
chr19,17604857,17604858,1,0,0,1
chr19,17604878,17604879,1,0,0,1
chr19,17604943,17604944,1,0,0,1
chr19,17604997,17604998,1,0,0,1
chr19,17605024,17605025,1,0,0,1
chr19,17605066,17605067,1,0,0,1
chr19,17605085,17605086,1,0,0,1
chr19,17605109,17605110,1,0,0,1
chr19,17605318,17605319,1,0,0,1
chr19,17605367,17605368,1,0,0,1
chr19,17605484,17605485,1,0,0,1
chr19,17605487,17605488,1,0,0,1
chr19,17605489,17605490,1,0,0,1
chr19,17605499,17605500,1,0,0,1
chr19,17605518,17605519,1,0,0,1
chr19,17605534,17605535,1,0,0,1
chr19,17605549,17605550,1,0,0,1
chr19,17605557,17605558,1,0,0,1
chr19,17605624,17605625,1,0,0,1
chr19,17605666,17605667,1,0,0,1
chr19,17605812,17605813,1,0,0,1
chr19,17605813,17605814,1,0,0,1
chr19,17605897,17605898,1,0,0,1
chr19,17605950,17605951,1,0,0,1
chr19,17605966,17605967,1,0,0,1
chr19,17605980,17605981,1,0,0,1
chr19,17606247,17606248,1,0,0,1
chr19,17606283,17606284,1,0,0,1
chr19,17606289,17606290,1,0,0,1
chr19,17606598,17606599,1,0,0,1
chr19,17607111,17607112,1,0,0,1
chr19,17607580,17607581,1,0,0,1
chr19,17607760,17607761,1,0,0,1
chr19,17607763,17607764,1,0,0,1
chr19,17607809,17607810,1,0,0,1
chr19,17607853,17607854,1,0,0,1
chr19,17607866,17607867,1,0,0,1
chr19,17608021,17608022,1,0,0,1
chr19,17609638,17609639,1,0,0,1
chr19,17609802,17609803,1,0,0,1
chr19,17609984,17609985,1,0,0,1
chr19,17610087,17610088,1,0,0,1
chr19,17610100,17610101,1,0,0,1
chr19,17611354,17611355,1,0,0,1
chr19,17611805,17611806,1,0,0,1
chr19,17611824,17611825,1,0,0,1
chr19,17611875,17611876,1,0,0,1
chr19,17611982,17611983,1,0,0,1
chr19,17612120,17612121,1,0,0,1
chr19,17612227,17612228,1,0,0,1
chr19,17612282,17612283,1,0,0,1
chr19,17612305,17612306,1,0,0,1
chr19,17612482,17612483,1,0,0,1
chr19,17612487,17612488,1,0,0,1
chr19,17612619,17612620,1,0,0,1
chr19,17612741,17612742,1,0,0,1
chr19,17613054,17613055,1,0,0,1
chr19,17613424,17613425,1,0,0,1
chr19,17613432,17613433,1,0,0,1
chr19,17613463,17613464,1,0,0,1
chr19,17613483,17613484,1,0,0,1
chr19,17613490,17613491,1,0,0,1
chr19,17613523,17613524,1,0,0,1
chr19,17614414,17614415,1,0,0,1
chr19,17614426,17614427,1,0,0,1
chr19,17614552,17614553,1,0,0,1
chr19,17614553,17614554,1,0,0,1
chr19,17614604,17614605,1,0,0,1
chr19,17614668,17614669,1,0,0,1
chr19,17614809,17614810,1,0,0,1
chr19,17614815,17614816,1,0,0,1
chr19,17614821,17614822,1,0,0,1
chr19,17614849,17614850,1,0,0,1
chr19,17614977,17614978,1,0,0,1
chr19,17615108,17615109,1,0,0,1
chr19,17615811,17615812,1,0,0,1
chr19,17616170,17616171,1,0,0,1
chr19,17616417,17616418,1,0,0,1
chr19,17616533,17616534,1,0,0,1
chr19,17616609,17616610,1,0,0,1
chr19,17616915,17616916,1,0,0,1
chr19,17616950,17616951,1,0,0,1
chr19,17617082,17617083,1,0,0,1
chr19,17617111,17617112,1,0,0,1
chr19,17617178,17617179,1,0,0,1
chr19,17617200,17617201,1,0,0,1
chr19,17617308,17617309,1,0,0,1
chr19,17617331,17617332,1,0,0,1
chr19,17617344,17617345,1,0,0,1
chr19,17617350,17617351,1,0,0,1
chr19,17617363,17617364,1,0,0,1
chr19,17617557,17617558,1,0,0,1
chr19,17617664,17617665,1,0,0,1
chr19,17617705,17617706,1,0,0,1
chr19,17618460,17618461,1,0,0,1
chr19,17618607,17618608,1,0,0,1
chr19,17618618,17618619,1,0,0,1
chr19,17618637,17618638,1,0,0,1
chr19,17618665,17618666,1,0,0,1
chr19,17619121,17619122,1,0,0,1
chr19,17619235,17619236,1,0,0,1
chr19,17619575,17619576,1,0,0,1
chr19,17619642,17619643,1,0,0,1
chr19,17619695,17619696,1,0,0,1
chr19,17619826,17619827,1,0,0,1
chr19,17619900,17619901,1,0,0,1
chr19,17620096,17620097,1,0,0,1
chr19,17620165,17620166,1,0,0,1
chr19,17620199,17620200,1,0,0,1
chr19,17620383,17620384,1,0,0,1
chr19,17620505,17620506,1,0,0,1
chr19,17620521,17620522,1,0,0,1
chr19,17620749,17620750,1,0,0,1
chr19,17620807,17620808,2,0,0,2
chr19,17620817,17620818,1,0,0,1
chr19,17620845,17620846,1,0,0,1
chr19,17620855,17620856,1,0,0,1
chr19,17620859,17620860,1,0,0,1
chr19,17620872,17620873,1,0,0,1
chr19,17620882,17620883,1,0,0,1
chr19,17620894,17620895,1,0,0,1
chr19,17620945,17620946,1,0,0,1
chr19,17621059,17621060,1,0,0,1
chr19,17621070,17621071,1,0,0,1
chr19,17621091,17621092,1,0,0,1
chr19,17621098,17621099,1,0,0,1
chr19,17621104,17621105,1,0,0,1
chr19,17621118,17621119,1,0,0,1
chr19,17621144,17621145,1,0,0,1
chr19,17621163,17621164,1,0,0,1
chr19,17621172,17621173,3,0,0,3
chr19,17621174,17621175,1,0,0,1
chr19,17621191,17621192,1,0,0,1
chr19,17621195,17621196,1,0,0,1
chr19,17621197,17621198,1,0,0,1
chr19,17621208,17621209,1,0,0,1
chr19,17621271,17621272,1,0,0,1
chr19,17621288,17621289,1,0,0,1
chr19,17621295,17621296,2,0,0,2
chr19,17621323,17621324,1,0,0,1
chr19,17621326,17621327,1,0,0,1
chr19,17621339,17621340,1,0,0,1
chr19,17621434,17621435,1,0,0,1
chr19,17621471,17621472,1,0,0,1
chr19,17621498,17621499,1,0,0,1
chr19,17621511,17621512,1,0,0,1
chr19,17621530,17621531,1,0,0,1
chr19,17621531,17621532,1,0,0,1
chr19,17621577,17621578,1,0,0,1
chr19,17621611,17621612,1,0,0,1
chr19,17621620,17621621,1,0,0,1
chr19,17621629,17621630,1,0,0,1
chr19,17621649,17621650,1,0,0,1
chr19,17621671,17621672,1,0,0,1
chr19,17621704,17621705,1,0,0,1
chr19,17621714,17621715,1,0,0,1
chr19,17621754,17621755,2,0,0,2
chr19,17621770,17621771,1,0,0,1
chr19,17621772,17621773,2,0,0,2
chr19,17621774,17621775,2,0,0,2
chr19,17621789,17621790,1,0,0,1
chr19,17621792,17621793,2,0,0,2
chr19,17621831,17621832,1,0,0,1
chr19,17621840,17621841,1,0,0,1
chr19,17621847,17621848,1,0,0,1
chr19,17621881,17621882,1,0,0,1
chr19,17621908,17621909,1,0,0,1
chr19,17621923,17621924,1,0,0,1
chr19,17621924,17621925,1,0,0,1
chr19,17621933,17621934,1,0,0,1
chr19,17621942,17621943,1,0,0,1
chr19,17622012,17622013,2,0,0,2
chr19,17622034,17622035,1,0,0,1
chr19,17622041,17622042,1,0,0,1
chr19,17622042,17622043,1,0,0,1
chr19,17622061,17622062,1,0,0,1
chr19,17622066,17622067,1,0,0,1
chr19,17622097,17622098,1,0,0,1
chr19,17622181,17622182,1,0,0,1
chr19,17622220,17622221,1,0,0,1
chr19,17622222,17622223,1,0,0,1
chr19,17622296,17622297,1,0,0,1
chr19,17622481,17622482,1,0,0,1
chr19,17622950,17622951,1,0,0,1
chr19,17622996,17622997,1,0,0,1
chr19,17623021,17623022,1,0,0,1
chr19,17623024,17623025,1,0,0,1
chr19,17623054,17623055,1,0,0,1
chr19,17623223,17623224,1,0,0,1
chr19,17623298,17623299,1,0,0,1
chr19,17623419,17623420,1,0,0,1
chr19,17623428,17623429,1,0,0,1
chr19,17623487,17623488,1,0,0,1
chr19,17623520,17623521,1,0,0,1
chr19,17623533,17623534,1,0,0,1
chr19,17623736,17623737,1,0,0,1
chr19,17623880,17623881,1,0,0,1
chr19,17624528,17624529,1,0,0,1
chr19,17624547,17624548,1,0,0,1
chr19,17624650,17624651,1,0,0,1
chr19,17624680,17624681,1,0,0,1
chr19,17624728,17624729,1,0,0,1
chr19,17624766,17624767,1,0,0,1
chr19,17624920,17624921,1,0,0,1
chr19,17624935,17624936,1,0,0,1
chr19,17625040,17625041,1,0,0,1
chr19,17625158,17625159,1,0,0,1
chr19,17625181,17625182,1,0,0,1
chr19,17625231,17625232,1,0,0,1
chr19,17625262,17625263,1,0,0,1
chr19,17625270,17625271,1,0,0,1
chr19,17625309,17625310,1,0,0,1
chr19,17625319,17625320,1,0,0,1
chr19,17625380,17625381,1,0,0,1
chr19,17625381,17625382,1,0,0,1
chr19,17625437,17625438,1,0,0,1
chr19,17625439,17625440,1,0,0,1
chr19,17625446,17625447,1,0,0,1
chr19,17625448,17625449,1,0,0,1
chr19,17625487,17625488,1,0,0,1
chr19,17625531,17625532,4,0,0,4
chr19,17625532,17625533,1,0,0,1
chr19,17625546,17625547,1,0,0,1
chr19,17625547,17625548,1,0,0,1
chr19,17625561,17625562,1,0,0,1
chr19,17625568,17625569,1,0,0,1
chr19,17625579,17625580,1,0,0,1
chr19,17625608,17625609,1,0,0,1
chr19,17625612,17625613,1,0,0,1
chr19,17625631,17625632,1,0,0,1
chr19,17625643,17625644,1,0,0,1
chr19,17625649,17625650,1,0,0,1
chr19,17625655,17625656,1,0,0,1
chr19,17625658,17625659,1,0,0,1
chr19,17625659,17625660,1,0,0,1
chr19,17625695,17625696,1,0,0,1
chr19,17625709,17625710,1,0,0,1
chr19,17625716,17625717,1,0,0,1
chr19,17625735,17625736,1,0,0,1
chr19,17625738,17625739,1,0,0,1
chr19,17625746,17625747,2,0,0,2
chr19,17625747,17625748,1,0,0,1
chr19,17625812,17625813,1,0,0,1
chr19,17625815,17625816,1,0,0,1
chr19,17625845,17625846,2,0,0,2
chr19,17625852,17625853,1,0,0,1
chr19,17625860,17625861,1,0,0,1
chr19,17625871,17625872,2,0,0,2
chr19,17625928,17625929,1,0,0,1
chr19,17625931,17625932,2,0,0,2
chr19,17625945,17625946,1,0,0,1
chr19,17625958,17625959,1,0,0,1
chr19,17625968,17625969,1,0,0,1
chr19,17625980,17625981,1,0,0,1
chr19,17625998,17625999,1,0,0,1
chr19,17625999,17626000,2,0,0,2
chr19,17626003,17626004,1,0,0,1
chr19,17626007,17626008,2,0,0,2
chr19,17626040,17626041,2,0,0,2
chr19,17626057,17626058,1,0,0,1
chr19,17626061,17626062,1,0,0,1
chr19,17626063,17626064,1,0,0,1
chr19,17626088,17626089,1,0,0,1
chr19,17626102,17626103,1,0,0,1
chr19,17626104,17626105,1,0,0,1
chr19,17626119,17626120,1,0,0,1
chr19,17626125,17626126,1,0,0,1
chr19,17626135,17626136,1,0,0,1
chr19,17626159,17626160,1,0,0,1
chr19,17626160,17626161,1,0,0,1
chr19,17626200,17626201,1,0,0,1
chr19,17626202,17626203,1,0,0,1
chr19,17626206,17626207,1,0,0,1
chr19,17626244,17626245,1,0,0,1
chr19,17626250,17626251,1,0,0,1
chr19,17626258,17626259,1,0,0,1
chr19,17626267,17626268,1,0,0,1
chr19,17626289,17626290,1,0,0,1
chr19,17626306,17626307,1,0,0,1
chr19,17626312,17626313,1,0,0,1
chr19,17626320,17626321,1,0,0,1
chr19,17626324,17626325,1,0,0,1
chr19,17626332,17626333,1,0,0,1
chr19,17626366,17626367,1,0,0,1
chr19,17626370,17626371,1,0,0,1
chr19,17626382,17626383,1,0,0,1
chr19,17626395,17626396,1,0,0,1
chr19,17626402,17626403,1,0,0,1
chr19,17626411,17626412,1,0,0,1
chr19,17626422,17626423,2,0,0,2
chr19,17626431,17626432,1,0,0,1
chr19,17626432,17626433,1,0,0,1
chr19,17626437,17626438,1,0,0,1
chr19,17626438,17626439,1,0,0,1
chr19,17626445,17626446,1,0,0,1
chr19,17626460,17626461,1,0,0,1
chr19,17626461,17626462,1,0,0,1
chr19,17626464,17626465,1,0,0,1
chr19,17626466,17626467,1,0,0,1
chr19,17626492,17626493,1,0,0,1
chr19,17626501,17626502,1,0,0,1
chr19,17626522,17626523,1,0,0,1
chr19,17626538,17626539,1,0,0,1
chr19,17626539,17626540,1,0,0,1
chr19,17626551,17626552,1,0,0,1
chr19,17626565,17626566,1,0,0,1
chr19,17626572,17626573,2,0,0,2
chr19,17626770,17626771,1,0,0,1
chr19,17626835,17626836,1,0,0,1
chr19,17626918,17626919,1,0,0,1
chr19,17627169,17627170,1,0,0,1
chr19,17627536,17627537,1,0,0,1
chr19,17627543,17627544,1,0,0,1
chr19,17627627,17627628,1,0,0,1
chr19,17627642,17627643,1,0,0,1
chr19,17627700,17627701,1,0,0,1
chr19,17627786,17627787,1,0,0,1
chr19,17627790,17627791,1,0,0,1
chr19,17627800,17627801,1,0,0,1
chr19,17627845,17627846,1,0,0,1
chr19,17627879,17627880,1,0,0,1
chr19,17627886,17627887,1,0,0,1
chr19,17627887,17627888,1,0,0,1
chr19,17627928,17627929,1,0,0,1
chr19,17627944,17627945,1,0,0,1
chr19,17627965,17627966,1,0,0,1
chr19,17628005,17628006,1,0,0,1
chr19,17628028,17628029,1,0,0,1
chr19,17628042,17628043,1,0,0,1
chr19,17628043,17628044,1,0,0,1
chr19,17628048,17628049,1,0,0,1
chr19,17628052,17628053,1,0,0,1
chr19,17628053,17628054,1,0,0,1
chr19,17628066,17628067,1,0,0,1
chr19,17628077,17628078,2,0,0,2
chr19,17628131,17628132,2,0,0,2
chr19,17628135,17628136,1,0,0,1
chr19,17628144,17628145,2,0,0,2
chr19,17628157,17628158,1,0,0,1
chr19,17628180,17628181,1,0,0,1
chr19,17628181,17628182,1,0,0,1
chr19,17628182,17628183,1,0,0,1
chr19,17628203,17628204,1,0,0,1
chr19,17628219,17628220,2,0,0,2
chr19,17628229,17628230,1,0,0,1
chr19,17628250,17628251,1,0,0,1
chr19,17628256,17628257,1,0,0,1
chr19,17628267,17628268,1,0,0,1
chr19,17628268,17628269,1,0,0,1
chr19,17628269,17628270,1,0,0,1
chr19,17628286,17628287,1,0,0,1
chr19,17628290,17628291,1,0,0,1
chr19,17628295,17628296,1,0,0,1
chr19,17628296,17628297,1,0,0,1
chr19,17628298,17628299,1,0,0,1
chr19,17628313,17628314,1,0,0,1
chr19,17628317,17628318,1,0,0,1
chr19,17628325,17628326,1,0,0,1
chr19,17628333,17628334,1,0,0,1
chr19,17628361,17628362,1,0,0,1
chr19,17628363,17628364,2,0,0,2
chr19,17628369,17628370,6,0,0,6
chr19,17628381,17628382,1,0,0,1
chr19,17628390,17628391,1,0,0,1
chr19,17628397,17628398,1,0,0,1
chr19,17628404,17628405,2,0,0,2
chr19,17628416,17628417,1,0,0,1
chr19,17628439,17628440,1,0,0,1
chr19,17628457,17628458,2,0,0,2
chr19,17628466,17628467,1,0,0,1
chr19,17628468,17628469,1,0,0,1
chr19,17628472,17628473,1,0,0,1
chr19,17628475,17628476,1,0,0,1
chr19,17628479,17628480,1,0,0,1
chr19,17628481,17628482,1,0,0,1
chr19,17628505,17628506,1,0,0,1
chr19,17628525,17628526,1,0,0,1
chr19,17628534,17628535,1,0,0,1
chr19,17628538,17628539,3,0,0,3
chr19,17628546,17628547,1,0,0,1
chr19,17628547,17628548,1,0,0,1
chr19,17628553,17628554,2,0,0,2
chr19,17628564,17628565,2,0,0,2
chr19,17628572,17628573,2,0,0,2
chr19,17628576,17628577,2,0,0,2
chr19,17628588,17628589,1,0,0,1
chr19,17628593,17628594,2,0,0,2
chr19,17628594,17628595,1,0,0,1
chr19,17628599,17628600,1,0,0,1
chr19,17628604,17628605,1,0,0,1
chr19,17628611,17628612,1,0,0,1
chr19,17628626,17628627,1,0,0,1
chr19,17628635,17628636,1,0,0,1
chr19,17628636,17628637,1,0,0,1
chr19,17628637,17628638,1,0,0,1
chr19,17628649,17628650,1,0,0,1
chr19,17628652,17628653,1,0,0,1
chr19,17628662,17628663,1,0,0,1
chr19,17628664,17628665,1,0,0,1
chr19,17628666,17628667,2,0,0,2
chr19,17628667,17628668,1,0,0,1
chr19,17628676,17628677,1,0,0,1
chr19,17628677,17628678,1,0,0,1
chr19,17628685,17628686,3,0,0,3
chr19,17628687,17628688,2,0,0,2
chr19,17628703,17628704,1,0,0,1
chr19,17628710,17628711,2,0,0,2
chr19,17628712,17628713,1,0,0,1
chr19,17628717,17628718,2,0,0,2
chr19,17628721,17628722,1,0,0,1
chr19,17628730,17628731,2,0,0,2
chr19,17628731,17628732,4,0,0,4
chr19,17628733,17628734,1,0,0,1
chr19,17628737,17628738,1,0,0,1
chr19,17628738,17628739,1,0,0,1
chr19,17628750,17628751,1,0,0,1
chr19,17628757,17628758,1,0,0,1
chr19,17628760,17628761,2,0,0,2
chr19,17628762,17628763,1,0,0,1
chr19,17628767,17628768,1,0,0,1
chr19,17628771,17628772,2,0,0,2
chr19,17628773,17628774,1,0,0,1
chr19,17628778,17628779,1,0,0,1
chr19,17628783,17628784,2,0,0,2
chr19,17628790,17628791,1,0,0,1
chr19,17628792,17628793,3,0,0,3
chr19,17628795,17628796,1,0,0,1
chr19,17628806,17628807,1,0,0,1
chr19,17628812,17628813,1,0,0,1
chr19,17628815,17628816,1,0,0,1
chr19,17628817,17628818,1,0,0,1
chr19,17628825,17628826,2,0,0,2
chr19,17628826,17628827,1,0,0,1
chr19,17628830,17628831,1,0,0,1
chr19,17628835,17628836,2,0,0,2
chr19,17628842,17628843,1,0,0,1
chr19,17628844,17628845,1,0,0,1
chr19,17628847,17628848,1,0,0,1
chr19,17628852,17628853,1,0,0,1
chr19,17628874,17628875,1,0,0,1
chr19,17628881,17628882,1,0,0,1
chr19,17628888,17628889,1,0,0,1
chr19,17628892,17628893,1,0,0,1
chr19,17628895,17628896,1,0,0,1
chr19,17628898,17628899,1,0,0,1
chr19,17628909,17628910,1,0,0,1
chr19,17628910,17628911,1,0,0,1
chr19,17628914,17628915,1,0,0,1
chr19,17628920,17628921,1,0,0,1
chr19,17628921,17628922,1,0,0,1
chr19,17628923,17628924,1,0,0,1
chr19,17628926,17628927,1,0,0,1
chr19,17628927,17628928,1,0,0,1
chr19,17628930,17628931,2,0,0,2
chr19,17628935,17628936,1,0,0,1
chr19,17628936,17628937,1,0,0,1
chr19,17628938,17628939,1,0,0,1
chr19,17628945,17628946,1,0,0,1
chr19,17628954,17628955,1,0,0,1
chr19,17628969,17628970,1,0,0,1
chr19,17628972,17628973,1,0,0,1
chr19,17628973,17628974,1,0,0,1
chr19,17628976,17628977,1,0,0,1
chr19,17628980,17628981,1,0,0,1
chr19,17628982,17628983,1,0,0,1
chr19,17628990,17628991,1,0,0,1
chr19,17628993,17628994,1,0,0,1
chr19,17628994,17628995,1,0,0,1
chr19,17628998,17628999,2,0,0,2
chr19,17629008,17629009,1,0,0,1
chr19,17629013,17629014,1,0,0,1
chr19,17629014,17629015,1,0,0,1
chr19,17629028,17629029,1,0,0,1
chr19,17629042,17629043,1,0,0,1
chr19,17629053,17629054,1,0,0,1
chr19,17629059,17629060,2,0,0,2
chr19,17629070,17629071,1,0,0,1
chr19,17629078,17629079,2,0,0,2
chr19,17629081,17629082,2,0,0,2
chr19,17629085,17629086,2,0,0,2
chr19,17629089,17629090,2,0,0,2
chr19,17629098,17629099,2,0,0,2
chr19,17629107,17629108,1,0,0,1
chr19,17629108,17629109,2,0,0,2
chr19,17629109,17629110,1,0,0,1
chr19,17629110,17629111,1,0,0,1
chr19,17629115,17629116,2,0,0,2
chr19,17629116,17629117,1,0,0,1
chr19,17629119,17629120,1,0,0,1
chr19,17629123,17629124,2,0,0,2
chr19,17629129,17629130,6,0,0,6
chr19,17629131,17629132,1,0,0,1
chr19,17629132,17629133,2,0,0,2
chr19,17629148,17629149,1,0,0,1
chr19,17629149,17629150,1,0,0,1
chr19,17629153,17629154,2,0,0,2
chr19,17629212,17629213,2,0,0,2
chr19,17629213,17629214,2,0,0,2
chr19,17629254,17629255,1,0,0,1
chr19,17629258,17629259,1,0,0,1
chr19,17629275,17629276,1,0,0,1
chr19,17629288,17629289,1,0,0,1
chr19,17629295,17629296,1,0,0,1
chr19,17629316,17629317,2,0,0,2
chr19,17629586,17629587,1,0,0,1
chr19,17629655,17629656,1,0,0,1
chr19,17629659,17629660,1,0,0,1
chr19,17629677,17629678,1,0,0,1
chr19,17629678,17629679,1,0,0,1
chr19,17629704,17629705,1,0,0,1
chr19,17629782,17629783,1,0,0,1
chr19,17629790,17629791,1,0,0,1
chr19,17629809,17629810,1,0,0,1
chr19,17629855,17629856,1,0,0,1
chr19,17629859,17629860,1,0,0,1
chr19,17629895,17629896,1,0,0,1
chr19,17630018,17630019,1,0,0,1
chr19,17630085,17630086,1,0,0,1
chr19,17630091,17630092,1,0,0,1
chr19,17630232,17630233,1,0,0,1
chr19,17630233,17630234,1,0,0,1
chr19,17630260,17630261,1,0,0,1
chr19,17630261,17630262,1,0,0,1
chr19,17630263,17630264,1,0,0,1
chr19,17630420,17630421,1,0,0,1
chr19,17630664,17630665,1,0,0,1
chr19,17630693,17630694,1,0,0,1
chr19,17630827,17630828,1,0,0,1
chr19,17630842,17630843,1,0,0,1
chr19,17630847,17630848,1,0,0,1
chr19,17630881,17630882,1,0,0,1
chr19,17630915,17630916,1,0,0,1
chr19,17630925,17630926,1,0,0,1
chr19,17630979,17630980,1,0,0,1
chr19,17630996,17630997,1,0,0,1
chr19,17631160,17631161,3,0,0,3
chr19,17632015,17632016,1,0,0,1
chr19,17632113,17632114,1,0,0,1
chr19,17632133,17632134,1,0,0,1
chr19,17632159,17632160,1,0,0,1
chr19,17632432,17632433,1,0,0,1
chr19,17632544,17632545,1,0,0,1
chr19,17632555,17632556,1,0,0,1
chr19,17632655,17632656,1,0,0,1
chr19,17632681,17632682,1,0,0,1
chr19,17632699,17632700,1,0,0,1
chr19,17632819,17632820,1,0,0,1
chr19,17633132,17633133,1,0,0,1
chr19,17633164,17633165,2,0,0,2
chr19,17633207,17633208,1,0,0,1
chr19,17633273,17633274,1,0,0,1
chr19,17633365,17633366,1,0,0,1
