gene_name,gene_id,lsv_id,deltaPSI,p_d_psi_0_10_per_lsv_junction,FDR,control_e_psi,tdp_kd_e_psi,lsv_type,a5ss,a3ss,es,num_junctions,num_exons,de_novo_junctions,chr,strand,lsv_junc,exon_start,exon_end,junc_start,junc_end,ir_start,ir_end,junc_dist,paste_into_igv_junction,paste_into_igv_exon,exon_length,exon_mod_3,exon_type
CYFIP2,ENSG00000055163.20,ENSG00000055163.20:t:157330742-157330850,0.0784308932100742,0.288514693549321,9.66303576672757e-05,0,0.106,t|1e1.2o2|1e2.1o1|i,FALSE,FALSE,TRUE,3,3,0,chr5,+,ENSG00000055163.20:t:157330742-157330850_157330227-157330741,157330742,157330850,157330227,157330741,,,514,chr5:157330227-157330741,chr5:157330742-157330850,108,0,target
LRP6,ENSG00000070018.9,ENSG00000070018.9:s:12120370-12120403,0.230934955642058,0.948349559012669,4.39662168130058e-06,0.067,0.323,s|1e1.1o1|i,FALSE,FALSE,FALSE,2,2,1,chr12,-,ENSG00000070018.9:s:12120370-12120403_12119330-12120370,12116025,12119330,12119330,12120370,12119331,12120369,1040,chr12:12119330-12120370,chr12:12116025-12119330,3305,2,source
LRP6,ENSG00000070018.9,ENSG00000070018.9:s:12120370-12120403,-0.230934928297287,0.948349597740597,4.39695445897392e-06,0.933,0.677,s|1e1.1o1|i,FALSE,FALSE,FALSE,2,2,1,chr12,-,ENSG00000070018.9:s:12120370-12120403_12119331-12120369,12120370,12120403,12119331,12120369,,,1038,chr12:12119331-12120369,chr12:12120370-12120403,33,0,source
CHFR,ENSG00000072609.17,ENSG00000072609.17:t:132861467-132861904,0.101773156326829,0.507312985406487,3.1263400117758e-06,0.059,0.174,t|1e1.1o1|1e2.2o2|1e3.2o2|1e4.1o1,FALSE,FALSE,TRUE,4,5,1,chr12,-,ENSG00000072609.17:t:132861467-132861904_132861634-132872285,132861467,132861904,132861634,132872285,,,10651,chr12:132861634-132872285,chr12:132861467-132861904,437,2,target
CHFR,ENSG00000072609.17,ENSG00000072609.17:t:132861467-132861904,0.00767067442201684,0.00932814760192437,0.000146630545725529,0.151,0.164,t|1e1.1o1|1e2.2o2|1e3.2o2|1e4.1o1,FALSE,FALSE,TRUE,4,5,1,chr12,-,ENSG00000072609.17:t:132861467-132861904_132861634-132870724,132862333,132862425,132861634,132870724,,,9090,chr12:132861634-132870724,chr12:132862333-132862425,92,2,target
CHFR,ENSG00000072609.17,ENSG00000072609.17:t:132861467-132861904,-0.0957039407908118,0.464000770708104,4.7855695300969e-06,0.745,0.631,t|1e1.1o1|1e2.2o2|1e3.2o2|1e4.1o1,FALSE,FALSE,TRUE,4,5,1,chr12,-,ENSG00000072609.17:t:132861467-132861904_132861634-132869619,132869619,132869675,132861634,132869619,,,7985,chr12:132861634-132869619,chr12:132869619-132869675,56,2,target
CHFR,ENSG00000072609.17,ENSG00000072609.17:t:132861467-132861904,-0.00528385367445007,8.2184581237059e-06,0.0602648243602112,0.043,0.03,t|1e1.1o1|1e2.2o2|1e3.2o2|1e4.1o1,FALSE,FALSE,TRUE,4,5,1,chr12,-,ENSG00000072609.17:t:132861467-132861904_132861634-132862333,132870724,132870783,132861634,132862333,,,699,chr12:132861634-132862333,chr12:132870724-132870783,59,2,target
CTTNBP2,ENSG00000077063.11,ENSG00000077063.11:t:117861209-117861316,-0.21885055886723,0.98756586930346,5.03254379280449e-08,0.977,0.744,t|1e1.1o1|1e2.1o1,FALSE,FALSE,TRUE,2,3,1,chr7,-,ENSG00000077063.11:t:117861209-117861316_117861316-117873335,117861209,117861316,117861316,117873335,,,12019,chr7:117861316-117873335,chr7:117861209-117861316,107,2,target
CTTNBP2,ENSG00000077063.11,ENSG00000077063.11:t:117861209-117861316,0.218850569776055,0.987565884400169,5.03229197110719e-08,0.023,0.256,t|1e1.1o1|1e2.1o1,FALSE,FALSE,TRUE,2,3,0,chr7,-,ENSG00000077063.11:t:117861209-117861316_117861316-117862098,117862098,nan,117861316,117862098,,,782,chr7:117861316-117862098,chr7:117862098-nan,,,target
RUNX1T1,ENSG00000079102.16,ENSG00000079102.16:t:92017400-92017637,-0.0457502263419436,0.0907445476412388,2.98465097955392e-05,0.091,0.008,t|1e1.1o1|1e2.1o1|1e3.1o1,FALSE,FALSE,TRUE,3,4,1,chr8,-,ENSG00000079102.16:t:92017400-92017637_92017431-92095028,92017400,92017637,92017431,92095028,,,77597,chr8:92017431-92095028,chr8:92017400-92017637,237,0,target
RUNX1T1,ENSG00000079102.16,ENSG00000079102.16:t:92017400-92017637,0.200251598264816,0.911632747591332,8.79354737980923e-07,0.732,0.959,t|1e1.1o1|1e2.1o1|1e3.1o1,FALSE,FALSE,TRUE,3,4,1,chr8,-,ENSG00000079102.16:t:92017400-92017637_92017431-92075965,92062546,92062622,92017431,92075965,,,58534,chr8:92017431-92075965,chr8:92062546-92062622,76,1,target
RUNX1T1,ENSG00000079102.16,ENSG00000079102.16:t:92017400-92017637,-0.111993174651429,0.576188898072704,3.24617977787156e-06,0.177,0.033,t|1e1.1o1|1e2.1o1|1e3.1o1,FALSE,FALSE,TRUE,3,4,1,chr8,-,ENSG00000079102.16:t:92017400-92017637_92017431-92062546,92075965,92076137,92017431,92062546,,,45115,chr8:92017431-92062546,chr8:92075965-92076137,172,1,target
SEH1L,ENSG00000085415.16,ENSG00000085415.16:s:12984040-12984190,0.13210325896342,0.727178284696138,1.47788427675326e-06,0.751,0.893,s|1e1.1o1|1e2.1o1,FALSE,FALSE,TRUE,2,3,1,chr18,+,ENSG00000085415.16:s:12984040-12984190_12984190-12985240,12984040,12984190,12984190,12985240,,,1050,chr18:12984190-12985240,chr18:12984040-12984190,150,0,source
SEH1L,ENSG00000085415.16,ENSG00000085415.16:s:12984040-12984190,-0.132103289046443,0.727178587771084,1.47796470739703e-06,0.249,0.107,s|1e1.1o1|1e2.1o1,FALSE,FALSE,TRUE,2,3,1,chr18,+,ENSG00000085415.16:s:12984040-12984190_12984190-12986862,12985240,12985718,12984190,12986862,,,2672,chr18:12984190-12986862,chr18:12985240-12985718,478,1,source
SEH1L,ENSG00000085415.16,ENSG00000085415.16:t:12986862-12987536,-0.269017940199421,0.964111631440886,4.40463295581228e-06,0.573,0.274,t|1e1.1o1|i,FALSE,FALSE,FALSE,2,2,1,chr18,+,ENSG00000085415.16:t:12986862-12987536_12984190-12986862,12984040,12984190,12984190,12986862,12985719,12986861,2672,chr18:12984190-12986862,chr18:12984040-12984190,150,0,target
SEH1L,ENSG00000085415.16,ENSG00000085415.16:t:12986862-12987536,0.269017930197019,0.964111553596923,4.40431305836338e-06,0.427,0.726,t|1e1.1o1|i,FALSE,FALSE,FALSE,2,2,1,chr18,+,ENSG00000085415.16:t:12986862-12987536_12985719-12986861,12986862,12987536,12985719,12986861,,,1142,chr18:12985719-12986861,chr18:12986862-12987536,674,2,target
ZNF268,ENSG00000090612.21,ENSG00000090612.21:t:133202144-133214831,-0.0217228057441394,0.00246698372849391,0.000663779532326436,0.057,0.002,t|1e1.1o2|1e2.1o1|1e3.1o2,FALSE,FALSE,TRUE,3,4,1,chr12,+,ENSG00000090612.21:t:133202144-133214831_133188072-133202144,133187865,133188153,133188072,133202144,,,14072,chr12:133188072-133202144,chr12:133187865-133188153,288,0,target
ZNF268,ENSG00000090612.21,ENSG00000090612.21:t:133202144-133214831,0.109241532147525,0.539698376244293,4.25884005316807e-06,0.351,0.497,t|1e1.1o2|1e2.1o1|1e3.1o2,FALSE,FALSE,TRUE,3,4,1,chr12,+,ENSG00000090612.21:t:133202144-133214831_133192003-133202144,133191721,133192003,133192003,133202144,,,10141,chr12:133192003-133202144,chr12:133191721-133192003,282,0,target
ZNF268,ENSG00000090612.21,ENSG00000090612.21:t:133202144-133214831,-0.0528224391463829,0.21523122709687,1.15770568576146e-05,0.591,0.501,t|1e1.1o2|1e2.1o1|1e3.1o2,FALSE,FALSE,TRUE,3,4,1,chr12,+,ENSG00000090612.21:t:133202144-133214831_133193533-133202144,133193428,133193537,133193533,133202144,,,8611,chr12:133193533-133202144,chr12:133193428-133193537,109,1,target
CRYBB2P1,ENSG00000100058.12,ENSG00000100058.12:s:25459416-25459681,-0.205025697267277,0.978153332842985,4.70347995551457e-07,0.797,0.582,s|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|i,FALSE,FALSE,TRUE,5,5,1,chr22,+,ENSG00000100058.12:s:25459416-25459681_25459515-25460867,25459416,25459681,25459515,25460867,25459682,25459975,1352,chr22:25459515-25460867,chr22:25459416-25459681,265,1,source
CRYBB2P1,ENSG00000100058.12,ENSG00000100058.12:s:25459416-25459681,-0.00640837214413678,0.00148797438474438,0.00483921598229398,0.077,0.061,s|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|i,FALSE,FALSE,TRUE,5,5,0,chr22,+,ENSG00000100058.12:s:25459416-25459681_25459515-25466059,25459976,25461678,25459515,25466059,,,6544,chr22:25459515-25466059,chr22:25459976-25461678,1702,1,source
CRYBB2P1,ENSG00000100058.12,ENSG00000100058.12:s:25459416-25459681,2.58809430008849e-05,6.20587148337413e-09,0.427184993070921,0.007,0.015,s|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|i,FALSE,FALSE,TRUE,5,5,1,chr22,+,ENSG00000100058.12:s:25459416-25459681_25459515-25509183,25466059,nan,25459515,25509183,,,49668,chr22:25459515-25509183,chr22:25466059-nan,,,source
CRYBB2P1,ENSG00000100058.12,ENSG00000100058.12:s:25459416-25459681,0.0844017043970452,0.381586200276049,5.14870297813261e-05,0.039,0.127,s|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|i,FALSE,FALSE,TRUE,5,5,0,chr22,+,ENSG00000100058.12:s:25459416-25459681_25459515-25520682,25509183,25509342,25459515,25520682,,,61167,chr22:25459515-25520682,chr22:25509183-25509342,159,0,source
CRYBB2P1,ENSG00000100058.12,ENSG00000100058.12:s:25459416-25459681,0.128536285911516,0.73750036759335,1.15019993660371e-05,0.08,0.216,s|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|i,FALSE,FALSE,TRUE,5,5,0,chr22,+,ENSG00000100058.12:s:25459416-25459681_25459682-25459975,25520682,25520854,25459682,25459975,,,293,chr22:25459682-25459975,chr22:25520682-25520854,172,1,source
HMGXB4,ENSG00000100281.14,ENSG00000100281.14:t:35262763-35263226,0.174320191130252,0.876193166217438,9.38042918768202e-07,0.407,0.601,t|1e1.1o1|1e2.1o1,FALSE,FALSE,TRUE,2,3,1,chr22,+,ENSG00000100281.14:t:35262763-35263226_35257557-35263078,35257452,35257557,35257557,35263078,,,5521,chr22:35257557-35263078,chr22:35257452-35257557,105,0,target
HMGXB4,ENSG00000100281.14,ENSG00000100281.14:t:35262763-35263226,-0.174320202014009,0.876193204406855,9.38088369539791e-07,0.593,0.399,t|1e1.1o1|1e2.1o1,FALSE,FALSE,TRUE,2,3,1,chr22,+,ENSG00000100281.14:t:35262763-35263226_35262421-35263078,35261854,35262421,35262421,35263078,,,657,chr22:35262421-35263078,chr22:35261854-35262421,567,0,target
STAG2,ENSG00000101972.18,ENSG00000101972.18:s:124090575-124090764,0.134036957199796,0.706089120383744,2.14417127479427e-06,0.302,0.45,s|1e1.1o1|1e2.2o2,FALSE,FALSE,TRUE,2,3,1,chrX,+,ENSG00000101972.18:s:124090575-124090764_124090764-124090854,124090575,124090764,124090764,124090854,,,90,chrX:124090764-124090854,chrX:124090575-124090764,189,0,source
STAG2,ENSG00000101972.18,ENSG00000101972.18:s:124090575-124090764,-0.134036988041214,0.706089447885235,2.14428568334757e-06,0.698,0.55,s|1e1.1o1|1e2.2o2,FALSE,FALSE,TRUE,2,3,1,chrX,+,ENSG00000101972.18:s:124090575-124090764_124090764-124094018,124090854,124090964,124090764,124094018,,,3254,chrX:124090764-124094018,chrX:124090854-124090964,110,2,source
STAG2,ENSG00000101972.18,ENSG00000101972.18:t:124093913-124094144,-0.140108552046645,0.755640328371307,1.55802747766609e-05,0.692,0.534,t|1e1.1o1|1e2.1o1|i,FALSE,FALSE,TRUE,3,3,1,chrX,+,ENSG00000101972.18:t:124093913-124094144_124090764-124094018,124090575,124090764,124090764,124094018,124090965,124093912,3254,chrX:124090764-124094018,chrX:124090575-124090764,189,0,target
STAG2,ENSG00000101972.18,ENSG00000101972.18:t:124093913-124094144,0.112459469676003,0.587156182253888,3.44086019843819e-05,0.29,0.424,t|1e1.1o1|1e2.1o1|i,FALSE,FALSE,TRUE,3,3,1,chrX,+,ENSG00000101972.18:t:124093913-124094144_124090964-124094018,124090854,124090964,124090964,124094018,,,3054,chrX:124090964-124094018,chrX:124090854-124090964,110,2,target
STAG2,ENSG00000101972.18,ENSG00000101972.18:t:124093913-124094144,0.00537009968183998,0.000142790287844363,0.0352882135128341,0.015,0.039,t|1e1.1o1|1e2.1o1|i,FALSE,FALSE,TRUE,3,3,0,chrX,+,ENSG00000101972.18:t:124093913-124094144_124090965-124093912,124093913,124094144,124090965,124093912,,,2947,chrX:124090965-124093912,chrX:124093913-124094144,231,0,target
VRK3,ENSG00000105053.11,ENSG00000105053.11:s:49987701-49988492,-0.0404180063300598,0.0838683775947435,0.000336616473952445,0.194,0.13,s|1e1.1o1|1e2.2o2|i,FALSE,FALSE,TRUE,3,3,1,chr19,-,ENSG00000105053.11:s:49987701-49988492_49986933-49988372,49980955,49981184,49986933,49988372,49986934,49987700,1439,chr19:49986933-49988372,chr19:49980955-49981184,229,1,source
VRK3,ENSG00000105053.11,ENSG00000105053.11:s:49987701-49988492,-0.0462224174172154,0.111403205320369,0.000238883044344274,0.113,0.05,s|1e1.1o1|1e2.2o2|i,FALSE,FALSE,TRUE,3,3,1,chr19,-,ENSG00000105053.11:s:49987701-49988492_49981013-49988372,49986742,49986933,49981013,49988372,,,7359,chr19:49981013-49988372,chr19:49986742-49986933,191,2,source
VRK3,ENSG00000105053.11,ENSG00000105053.11:s:49987701-49988492,0.10994005698811,0.584862494532888,2.92651508131358e-05,0.696,0.819,s|1e1.1o1|1e2.2o2|i,FALSE,FALSE,TRUE,3,3,0,chr19,-,ENSG00000105053.11:s:49987701-49988492_49986934-49987700,49987701,49988492,49986934,49987700,,,766,chr19:49986934-49987700,chr19:49987701-49988492,791,2,source
VRK3,ENSG00000105053.11,ENSG00000105053.11:s:49999268-50001415,0.133193644737113,0.746615844248193,1.33725622549089e-06,0.712,0.857,s|1e1.2o2|1e2.1o1|1e3.1o1,FALSE,FALSE,TRUE,3,4,1,chr19,-,ENSG00000105053.11:s:49999268-50001415_49997570-50000790,49994814,49994919,49997570,50000790,,,3220,chr19:49997570-50000790,chr19:49994814-49994919,105,0,source
VRK3,ENSG00000105053.11,ENSG00000105053.11:s:49999268-50001415,-0.0489008253056881,0.114228076911689,1.98506601984949e-05,0.15,0.085,s|1e1.2o2|1e2.1o1|1e3.1o1,FALSE,FALSE,TRUE,3,4,1,chr19,-,ENSG00000105053.11:s:49999268-50001415_49995275-50000790,49995191,49995275,49995275,50000790,,,5515,chr19:49995275-50000790,chr19:49995191-49995275,84,0,source
VRK3,ENSG00000105053.11,ENSG00000105053.11:s:49999268-50001415,-0.0619723295090611,0.15125303751066,2.07129908159631e-05,0.135,0.058,s|1e1.2o2|1e2.1o1|1e3.1o1,FALSE,FALSE,TRUE,3,4,1,chr19,-,ENSG00000105053.11:s:49999268-50001415_49994919-50000790,49997544,49999198,49994919,50000790,,,5871,chr19:49994919-50000790,chr19:49997544-49999198,1654,1,source
TAF6,ENSG00000106290.15,ENSG00000106290.15:s:100119204-100119317,-0.011685312676533,1.43115327003541e-05,0.30239749181666,0.05,0.016,s|1e1.1o1|1e2.2o3|i,FALSE,FALSE,TRUE,3,3,1,chr7,-,ENSG00000106290.15:s:100119204-100119317_100118649-100119204,100114054,100114558,100118649,100119204,100118977,100119203,555,chr7:100118649-100119204,chr7:100114054-100114558,504,0,source
TAF6,ENSG00000106290.15,ENSG00000106290.15:s:100119204-100119317,-0.143020898203978,0.782815606877944,1.29070933233555e-05,0.399,0.245,s|1e1.1o1|1e2.2o3|i,FALSE,FALSE,TRUE,3,3,1,chr7,-,ENSG00000106290.15:s:100119204-100119317_100114268-100119204,100118396,100118649,100114268,100119204,,,4936,chr7:100114268-100119204,chr7:100118396-100118649,253,1,source
TAF6,ENSG00000106290.15,ENSG00000106290.15:s:100119204-100119317,0.178871735743904,0.923565988242481,3.30238101099809e-06,0.55,0.739,s|1e1.1o1|1e2.2o3|i,FALSE,FALSE,TRUE,3,3,1,chr7,-,ENSG00000106290.15:s:100119204-100119317_100118977-100119203,100119204,100119317,100118977,100119203,,,226,chr7:100118977-100119203,chr7:100119204-100119317,113,2,source
TAF6,ENSG00000106290.15,ENSG00000106290.15:t:100114054-100114558,-2.94085121138656e-05,7.30924590140644e-21,0.475023656170203,0.023,0.011,t|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1|1e5.1o2|1e6.1o1|i,FALSE,FALSE,TRUE,7,7,1,chr7,-,ENSG00000106290.15:t:100114054-100114558_100114268-100119695,100114054,100114558,100114268,100119695,100114559,100116513,5427,chr7:100114268-100119695,chr7:100114054-100114558,504,0,target
TAF6,ENSG00000106290.15,ENSG00000106290.15:t:100114054-100114558,-0.0010027245461124,1.5388132005564e-08,0.47168107909955,0.035,0.015,t|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1|1e5.1o2|1e6.1o1|i,FALSE,FALSE,TRUE,7,7,1,chr7,-,ENSG00000106290.15:t:100114054-100114558_100114268-100119329,100116514,100116633,100114268,100119329,,,5061,chr7:100114268-100119329,chr7:100116514-100116633,119,2,target
TAF6,ENSG00000106290.15,ENSG00000106290.15:t:100114054-100114558,-0.143612453336292,0.807523103622581,9.47446970267496e-06,0.387,0.235,t|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1|1e5.1o2|1e6.1o1|i,FALSE,FALSE,TRUE,7,7,1,chr7,-,ENSG00000106290.15:t:100114054-100114558_100114268-100119204,100118396,100118649,100114268,100119204,,,4936,chr7:100114268-100119204,chr7:100118396-100118649,253,1,target
TAF6,ENSG00000106290.15,ENSG00000106290.15:t:100114054-100114558,0.160375577030622,0.874704875011316,5.68762002433879e-06,0.456,0.626,t|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1|1e5.1o2|1e6.1o1|i,FALSE,FALSE,TRUE,7,7,1,chr7,-,ENSG00000106290.15:t:100114054-100114558_100114268-100118880,100118880,100118976,100114268,100118880,,,4612,chr7:100114268-100118880,chr7:100118880-100118976,96,0,target
TAF6,ENSG00000106290.15,ENSG00000106290.15:t:100114054-100114558,0.0140614569101929,0.0115405953040861,0.0010753286324939,0.053,0.086,t|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1|1e5.1o2|1e6.1o1|i,FALSE,FALSE,TRUE,7,7,1,chr7,-,ENSG00000106290.15:t:100114054-100114558_100114268-100118518,100119204,100119317,100114268,100118518,,,4250,chr7:100114268-100118518,chr7:100119204-100119317,113,2,target
TAF6,ENSG00000106290.15,ENSG00000106290.15:t:100114054-100114558,9.49240622365569e-06,7.30206865703555e-21,0.475082759357082,0.009,0.015,t|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1|1e5.1o2|1e6.1o1|i,FALSE,FALSE,TRUE,7,7,1,chr7,-,ENSG00000106290.15:t:100114054-100114558_100114268-100116514,100119329,100119372,100114268,100116514,,,2246,chr7:100114268-100116514,chr7:100119329-100119372,43,1,target
TAF6,ENSG00000106290.15,ENSG00000106290.15:t:100114054-100114558,-0.00111701027469038,1.69341887705204e-08,0.471671880675558,0.035,0.012,t|1e1.1o1|1e2.1o1|1e3.2o2|1e4.1o1|1e5.1o2|1e6.1o1|i,FALSE,FALSE,TRUE,7,7,0,chr7,-,ENSG00000106290.15:t:100114054-100114558_100114559-100116513,100119695,100119841,100114559,100116513,,,1954,chr7:100114559-100116513,chr7:100119695-100119841,146,2,target
LZTS2,ENSG00000107816.17,ENSG00000107816.17:t:101002497-101003177,0.00363869481430072,0.000296802395715799,0.0175536294658966,0.028,0.039,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|i,FALSE,FALSE,TRUE,5,5,1,chr10,+,ENSG00000107816.17:t:101002497-101003177_100997234-101002497,100997072,100997234,100997234,101002497,100999953,101002496,5263,chr10:100997234-101002497,chr10:100997072-100997234,162,0,target
LZTS2,ENSG00000107816.17,ENSG00000107816.17:t:101002497-101003177,0.0101976739165885,0.010900176832856,0.00105474219185733,0.066,0.092,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|i,FALSE,FALSE,TRUE,5,5,1,chr10,+,ENSG00000107816.17:t:101002497-101003177_100998410-101002497,100998348,100998410,100998410,101002497,,,4087,chr10:100998410-101002497,chr10:100998348-100998410,62,2,target
LZTS2,ENSG00000107816.17,ENSG00000107816.17:t:101002497-101003177,0.0845187989975505,0.394597828693712,6.22043275528815e-05,0.083,0.191,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|i,FALSE,FALSE,TRUE,5,5,1,chr10,+,ENSG00000107816.17:t:101002497-101003177_100998981-101002497,100998687,100998981,100998981,101002497,,,3516,chr10:100998981-101002497,chr10:100998687-100998981,294,0,target
LZTS2,ENSG00000107816.17,ENSG00000107816.17:t:101002497-101003177,-0.199960058451156,0.931476003306396,4.34416703765095e-06,0.508,0.283,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|i,FALSE,FALSE,TRUE,5,5,1,chr10,+,ENSG00000107816.17:t:101002497-101003177_100999952-101002497,100999476,100999952,100999952,101002497,,,2545,chr10:100999952-101002497,chr10:100999476-100999952,476,2,target
LZTS2,ENSG00000107816.17,ENSG00000107816.17:t:101002497-101003177,0.0401769123736208,0.151208269024112,0.000167260719649943,0.312,0.392,t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1|i,FALSE,FALSE,TRUE,5,5,1,chr10,+,ENSG00000107816.17:t:101002497-101003177_100999953-101002496,101002497,101003177,100999953,101002496,,,2543,chr10:100999953-101002496,chr10:101002497-101003177,680,2,target
C2orf42,ENSG00000115998.7,ENSG00000115998.7:s:70165528-70165635,0.136813087712691,0.693200024140265,2.54104543297398e-06,0.769,0.939,s|1e1.1o1|1e2.1o1,FALSE,FALSE,TRUE,2,3,1,chr2,-,ENSG00000115998.7:s:70165528-70165635_70165192-70165528,70160625,70160787,70165192,70165528,,,336,chr2:70165192-70165528,chr2:70160625-70160787,162,0,source
C2orf42,ENSG00000115998.7,ENSG00000115998.7:s:70165528-70165635,-0.136813098472636,0.69320023568269,2.54117670173137e-06,0.231,0.061,s|1e1.1o1|1e2.1o1,FALSE,FALSE,TRUE,2,3,0,chr2,-,ENSG00000115998.7:s:70165528-70165635_70160787-70165528,70165092,70165192,70160787,70165528,,,4741,chr2:70160787-70165528,chr2:70165092-70165192,100,1,source
MAP7D1,ENSG00000116871.15,ENSG00000116871.15:t:36174898-36175091,0.184642072498361,0.976056182129566,1.52637012250322e-07,0.533,0.716,t|1e1.1o2|1e2.1o1|1e3.1o1|i,FALSE,FALSE,TRUE,4,4,1,chr1,+,ENSG00000116871.15:t:36174898-36175091_36173478-36174898,36173364,36173479,36173478,36174898,36173934,36174897,1420,chr1:36173478-36174898,chr1:36173364-36173479,115,1,target
