Chr	Start	End	Name	Null	Strand	ExcludedBases	Coverage	IntronDepth	IntronDepth25Percentile	IntronDepth50Percentile	IntronDepth75Percentile	ExonToIntronReadsLeft	ExonToIntronReadsRight	IntronDepthFirst50bp	IntronDepthLast50bp	SpliceLeft	SpliceRight	SpliceExact	IRratio	Warnings	sample
chr9	35384314	35385723	UNC13B	0	+	10	1	13.549	8	13	18	21	11	21.95	11.2	46	46	46	0.227527	NonUniformIntronCover	CGND-HRA-00038
chr19	17627940	17629239	UNC13A	0	-	10	0.647013	0.866538	0	1	1	1	0	1	1	4	2	2	0.139232	LowCover	CGND-HRA-00039
chr9	35384314	35385723	UNC13B	0	+	10	1	8.26381	6	8	10	11	7	9	9.8	44	44	44	0.158117	-	CGND-HRA-00039
chr19	17627940	17629239	UNC13A	0	-	10	0.903026	2.14894	1	2	3	3	3	2	3.05	13	12	12	0.141854	-	CGND-HRA-00040
chr9	35384314	35385723	UNC13B	0	+	10	1	11.6488	10	12	14	14	13	16.1	12.6	37	36	36	0.239447	-	CGND-HRA-00040
chr19	17627940	17629239	UNC13A	0	-	10	0.479441	0.448743	0	0	1	1	2	1	1	3	2	2	0.137793	LowCover	CGND-HRA-00041
chr9	35384314	35385723	UNC13B	0	+	10	1	25.574	22	25	31	27	24	24.25	24	32	31	31	0.444193	-	CGND-HRA-00041
chr19	17627940	17629239	UNC13A	0	-	10	0.920869	1.70213	1	2	3	1	1	1	1	8	8	8	0.175439	LowCover	CGND-HRA-00042
chr9	35384314	35385723	UNC13B	0	+	10	1	7.49733	6	8	9	5	4	9.8	4.6	31	31	31	0.194749	NonUniformIntronCover	CGND-HRA-00042
chr19	17627940	17629239	UNC13A	0	-	10	0.447634	0.369439	0	0	1	0	1	0	1	1	1	1	0.309218	LowCover	CGND-HRA-00043
chr9	35384314	35385723	UNC13B	0	+	10	1	11.4866	9	11	14	11	13	12.4	9.35	32	32	32	0.264142	-	CGND-HRA-00043
chr19	17627940	17629239	UNC13A	0	-	10	1	5.15667	4	5	8	4	4	1.9	3	14	12	12	0.269184	-	CGND-HRA-00045
chr9	35384314	35385723	UNC13B	0	+	10	1	6.62923	5	6	9	9	8	9.6	8	15	15	15	0.306494	-	CGND-HRA-00045
chr19	17627940	17629239	UNC13A	0	-	10	0.924748	2.18762	1	2	3	3	7	3	7	15	13	13	0.127279	NonUniformIntronCover	CGND-HRA-00046
chr9	35384314	35385723	UNC13B	0	+	10	1	21.3155	19	21	24	29	17	30.95	13.85	41	40	40	0.342058	-	CGND-HRA-00046
chr19	17627940	17629239	UNC13A	0	-	10	0.69744	1.20116	0	1	2	0	1	0	1	5	3	3	0.193699	LowCover	CGND-HRA-00047
chr9	35384314	35385723	UNC13B	0	+	10	1	11.8788	8	12	15	13	9	12.6	8.55	43	43	43	0.216455	-	CGND-HRA-00047
chr19	17627940	17629239	UNC13A	0	-	10	0.864236	1.49323	1	1	2	1	8	1	6	11	10	10	0.119523	NonUniformIntronCover	CGND-HRA-00048
chr9	35384314	35385723	UNC13B	0	+	10	1	15.6988	12	16	19	19	7	20.15	6.9	26	26	26	0.37648	NonUniformIntronCover	CGND-HRA-00048
chr19	17627940	17629239	UNC13A	0	-	10	1	6.38685	5	6	8	1	9	3	8.65	24	20	20	0.210185	NonUniformIntronCover	CGND-HRA-00049
chr9	35384314	35385723	UNC13B	0	+	10	1	35.3547	30	36	39	46	30	52.9	29.75	21	21	21	0.62736	-	CGND-HRA-00049
chr19	17627940	17629239	UNC13A	0	-	10	0.669511	1.3559	0	1	4	3	3	2.75	4.9	7	6	6	0.162269	LowCover	CGND-HRA-00050
chr9	35384314	35385723	UNC13B	0	+	10	1	10.7843	6	11	16	18	6	19.6	7.55	17	17	17	0.388144	NonUniformIntronCover	CGND-HRA-00050
chr19	17627940	17629239	UNC13A	0	-	10	0.659426	1.35397	0	1	3	0	3	0	3.7	1	1	1	0.575185	LowCover	CGND-HRA-00051
chr9	35384314	35385723	UNC13B	0	+	10	1	8.99465	7	9	11	10	10	8	10	58	58	58	0.134259	-	CGND-HRA-00051
chr19	17627940	17629239	UNC13A	0	-	10	0.557021	0.642166	0	1	1	1	2	1	3.35	5	3	3	0.100237	LowCover	CGND-HRA-00052
chr9	35384314	35385723	UNC13B	0	+	10	1	15.3761	12	15	19	20	6	23.45	8.6	51	50	50	0.231651	NonUniformIntronCover	CGND-HRA-00052
chr19	17627940	17629239	UNC13A	0	-	10	0.687355	0.967118	0	1	1	2	1	0	1	9	8	8	0.0709538	LowCover	CGND-HRA-00053
chr9	35384314	35385723	UNC13B	0	+	10	1	5.45811	4	6	7	5	4	6.7	4	31	31	31	0.149709	-	CGND-HRA-00053
chr19	17627940	17629239	UNC13A	0	-	10	0.550815	0.626692	0	1	2	3	0	3	0.3	3	3	3	0.155123	LowCover	CGND-HRA-00054
chr9	35384314	35385723	UNC13B	0	+	10	1	5.6631	5	6	7	6	3	4.2	3.2	8	8	8	0.414481	NonUniformIntronCover	CGND-HRA-00054
chr19	17627940	17629239	UNC13A	0	-	10	1	25.9749	19	26	34	23	20	14.05	21.85	247	219	219	0.0951548	-	CGND-HRA-00055
chr9	35384314	35385723	UNC13B	0	+	10	1	20.3619	17	20	25	13	18	12.8	20	42	42	42	0.326511	NonUniformIntronCover	CGND-HRA-00055
chr19	17627940	17629239	UNC13A	0	-	10	1	19.6905	15	17	29	18	28	17.2	27.6	176	142	142	0.100621	-	CGND-HRA-00056
chr9	35384314	35385723	UNC13B	0	+	10	1	12.5526	11	12	15	20	14	16.75	16	18	18	18	0.410852	NonUniformIntronCover	CGND-HRA-00056
chr19	17627940	17629239	UNC13A	0	-	10	1	20.9072	16	21	27	23	35	21.55	34.75	125	109	109	0.143291	NonUniformIntronCover	CGND-HRA-00057
chr9	35384314	35385723	UNC13B	0	+	10	1	15.6684	14	16	17	14	10	15.65	10.55	20	20	20	0.43928	NonUniformIntronCover	CGND-HRA-00057
chr19	17627940	17629239	UNC13A	0	-	10	1	25.6731	17	22	39	26	44	23.6	42.45	99	78	78	0.205923	NonUniformIntronCover	CGND-HRA-00058
chr9	35384314	35385723	UNC13B	0	+	10	1	12.8699	10	13	15	15	10	17.8	15	19	19	19	0.403826	-	CGND-HRA-00058
chr19	17627940	17629239	UNC13A	0	-	10	1	19.7215	11	19	28	5	23	4	27.15	127	112	112	0.134414	NonUniformIntronCover	CGND-HRA-00059
chr9	35384314	35385723	UNC13B	0	+	10	1	8.66132	6	9	11	4	11	9.2	10.65	34	34	34	0.203025	NonUniformIntronCover	CGND-HRA-00059
chr19	17627940	17629239	UNC13A	0	-	10	1	24.9574	13	26	35.5	13	24	11.65	25.15	171	144	144	0.127362	NonUniformIntronCover	CGND-HRA-00060
chr9	35384314	35385723	UNC13B	0	+	10	1	17.4902	13	18	21	27	10	23.2	7	43	43	43	0.289141	NonUniformIntronCover	CGND-HRA-00060
chr19	17627940	17629239	UNC13A	0	-	10	1	12.9729	8	13	17	7	8	7.9	8.45	255	205	205	0.0484113	NonUniformIntronCover	CGND-HRA-00061
chr9	35384314	35385723	UNC13B	0	+	10	1	17.7647	14	18	20	19	10	16.85	10.55	41	40	40	0.302302	NonUniformIntronCover	CGND-HRA-00061
chr19	17627940	17629239	UNC13A	0	-	10	1	14.47	10	15	19	15	14	9.3	17	355	320	320	0.0391643	-	CGND-HRA-00062
chr9	35384314	35385723	UNC13B	0	+	10	1	18.9537	16	19	22	27	18	31.3	19.2	33	33	33	0.364818	-	CGND-HRA-00062
chr19	17627940	17629239	UNC13A	0	-	10	1	22.9458	17	23	30	21	31	17.75	29.4	86	78	78	0.210617	-	CGND-HRA-00063
chr9	35384314	35385723	UNC13B	0	+	10	1	12.8414	11	13	15	27	15	20.9	17.15	8	8	8	0.616148	NonUniformIntronCover	CGND-HRA-00063
chr19	17627940	17629239	UNC13A	0	-	10	1	21.5435	15	22	27	11	21	11.7	17.1	156	132	132	0.121342	NonUniformIntronCover	CGND-HRA-00064
chr9	35384314	35385723	UNC13B	0	+	10	1	16.9144	15	17	19	16	18	18.65	20.1	27	27	27	0.385168	-	CGND-HRA-00064
chr19	17627940	17629239	UNC13A	0	-	10	1	23.0754	14	22	33	25	42	24.7	34.35	65	56	56	0.261996	NonUniformIntronCover	CGND-HRA-00065
chr9	35384314	35385723	UNC13B	0	+	10	1	14.6595	11	14	20	9	20	11.1	18.6	30	30	30	0.328251	NonUniformIntronCover	CGND-HRA-00065
chr19	17627940	17629239	UNC13A	0	-	10	1	23.323	9.5	25	29	26	29	27.75	29.65	88	72	72	0.209508	-	CGND-HRA-00066
chr9	35384314	35385723	UNC13B	0	+	10	1	12.4207	8	12	19	12	16	7.55	17.45	29	29	29	0.299867	-	CGND-HRA-00066
chr19	17627940	17629239	UNC13A	0	-	10	1	25.0986	19	26	28	17	34	13	31.15	208	179	179	0.107674	-	CGND-HRA-00068
chr9	35384314	35385723	UNC13B	0	+	10	1	15.9519	13	16	18	16	13	17.9	15.95	22	22	22	0.420318	-	CGND-HRA-00068
chr19	17627940	17629239	UNC13A	0	-	10	1	12.9439	10	12	18	13	14	11.25	10.45	23	22	22	0.360114	-	CGND-HRA-00069
chr9	35384314	35385723	UNC13B	0	+	10	1	15.0392	13	15	18	13	14	12.25	13.15	11	10	10	0.57756	-	CGND-HRA-00069
chr19	17627940	17629239	UNC13A	0	-	10	1	16.9536	11	17	25	8	23	11.3	21.95	18	13	13	0.485031	MinorIsoform	CGND-HRA-00070
chr9	35384314	35385723	UNC13B	0	+	10	0.980701	6.0303	4	6	8	8	2	4.55	0.4	8	8	8	0.429806	NonUniformIntronCover	CGND-HRA-00070
chr19	17627940	17629239	UNC13A	0	-	10	1	61.8975	45	62	82	48	57	38.85	57.05	91	66	66	0.40483	MinorIsoform	CGND-HRA-00071
chr9	35384314	35385723	UNC13B	0	+	10	1	20.057	13	21	24	20	8	23.6	11.4	32	31	31	0.38529	NonUniformIntronCover	CGND-HRA-00071
chr19	17627940	17629239	UNC13A	0	-	10	1	21.9188	17	22	29	20	31	23.2	21.35	34	24	24	0.391975	MinorIsoform	CGND-HRA-00072
chr9	35384314	35385723	UNC13B	0	+	10	1	7.51515	6	8	9	14	10	12.1	8.4	22	22	22	0.25462	NonUniformIntronCover	CGND-HRA-00072
chr19	17627940	17629239	UNC13A	0	-	10	1	25.7157	13	28	35	13	27	11.5	28	37	33	33	0.410036	NonUniformIntronCover	CGND-HRA-00073
chr9	35384314	35385723	UNC13B	0	+	10	1	7.36542	6	7	11	6	5	7.95	6	11	11	11	0.401048	-	CGND-HRA-00073
chr19	17627940	17629239	UNC13A	0	-	10	1	19.1644	12	20	27	12	24	11.6	22.85	27	17	17	0.415134	MinorIsoform	CGND-HRA-00074
chr9	35384314	35385723	UNC13B	0	+	10	1	14.2638	12	14	17	8	15	13.7	16.1	9	9	9	0.613133	NonUniformIntronCover	CGND-HRA-00074
chr19	17627940	17629239	UNC13A	0	-	10	1	29.8414	18	28	41	15	22	14.35	27.05	60	52	52	0.332156	NonUniformIntronCover	CGND-HRA-00075
chr9	35384314	35385723	UNC13B	0	+	10	1	16.1586	13	16	19	20	16	18.1	15.75	19	19	19	0.459592	-	CGND-HRA-00075
chr19	17627940	17629239	UNC13A	0	-	10	1	19.0909	10	19	29	12	21	10.8	19.45	45	43	43	0.297872	NonUniformIntronCover	CGND-HRA-00076
chr9	35384314	35385723	UNC13B	0	+	10	1	13.082	11	13	16	10	10	9.95	11	9	9	9	0.592428	-	CGND-HRA-00076
chr19	17627940	17629239	UNC13A	0	-	10	0.89294	8.32882	3	9	13	1	15	0	16	15	11	11	0.357018	MinorIsoform	CGND-HRA-00077
chr9	35384314	35385723	UNC13B	0	+	10	1	6.8984	5	7	9	11	7	10.35	8	6	6	6	0.534826	NonUniformIntronCover	CGND-HRA-00077
chr19	17627940	17629239	UNC13A	0	-	10	1	9.15861	7	9	13	8	3	7.65	5.8	14	11	11	0.395473	NonUniformIntronCover	CGND-HRA-00078
chr9	35384314	35385723	UNC13B	0	+	10	1	5.7148	4	5	8	12	3	13	2	5	6	5	0.487827	NonUniformIntronCover	CGND-HRA-00078
chr19	17627940	17629239	UNC13A	0	-	10	1	27.1044	17	25	46	24	47	23.25	40.95	22	17	17	0.551975	NonUniformIntronCover	CGND-HRA-00079
chr9	35384314	35385723	UNC13B	0	+	10	1	8.88948	7	9	11	11	6	8.7	9.05	24	24	24	0.270283	-	CGND-HRA-00079
chr19	17627940	17629239	UNC13A	0	-	10	1	21.236	15	21	28	17	19	11.85	19	46	38	38	0.315842	-	CGND-HRA-00081
chr9	35384314	35385723	UNC13B	0	+	10	1	10.4421	8	10	14	8	9	8.45	12.2	14	14	14	0.427217	-	CGND-HRA-00081
chr19	17627940	17629239	UNC13A	0	-	10	1	12.1393	8	12	17	5	9	7.6	5.3	63	56	56	0.161557	NonUniformIntronCover	CGND-HRA-00082
chr9	35384314	35385723	UNC13B	0	+	10	1	5.91622	5	6	8	4	1	3.2	1.2	12	12	12	0.330216	NonUniformIntronCover	CGND-HRA-00082
chr19	17627940	17629239	UNC13A	0	-	10	1	13.6112	9	14	17	5	9	4.95	9.8	177	158	158	0.0714083	NonUniformIntronCover	CGND-HRA-00083
chr9	35384314	35385723	UNC13B	0	+	10	1	15.9483	13	16	20	13	13	12.95	11.75	38	37	37	0.295622	-	CGND-HRA-00083
chr19	17627940	17629239	UNC13A	0	-	10	1	15.6267	11	14	28	15	18	13.2	19.6	96	83	83	0.139991	-	CGND-HRA-00084
chr9	35384314	35385723	UNC13B	0	+	10	1	15.3922	13	15	17	13	16	15.7	17.45	21	20	20	0.422953	-	CGND-HRA-00084
chr19	17627940	17629239	UNC13A	0	-	10	1	23.9052	17	22	41	21	22	17.2	19	189	157	157	0.112281	-	CGND-HRA-00085
chr9	35384314	35385723	UNC13B	0	+	10	1	21.1194	18	21	24	26	13	26.2	13.7	43	43	43	0.329376	NonUniformIntronCover	CGND-HRA-00085
chr19	17627940	17629239	UNC13A	0	-	10	0.868115	1.7911	1	2	6	1	5	1	5.3	42	38	38	0.0409011	NonUniformIntronCover	CGND-HRA-00086
chr9	35384314	35385723	UNC13B	0	+	10	1	11.8859	9	12	15	9	9	12.4	8.15	29	29	29	0.290709	-	CGND-HRA-00086
chr19	17627940	17629239	UNC13A	0	-	10	1	21.7814	11	22	31	12	26	12	22.5	82	70	70	0.209878	NonUniformIntronCover	CGND-HRA-00087
chr9	35384314	35385723	UNC13B	0	+	10	1	9.35651	7	10	12	14	6	11.35	7	23	23	23	0.289169	NonUniformIntronCover	CGND-HRA-00087
chr19	17627940	17629239	UNC13A	0	-	10	1	7.89555	5	8	16	11	10	9	8.05	200	165	165	0.0379785	-	CGND-HRA-00088
chr9	35384314	35385723	UNC13B	0	+	10	1	11.1872	9	11	14	13	9	9.9	8.35	49	49	49	0.185873	-	CGND-HRA-00088
chr19	17627940	17629239	UNC13A	0	-	10	1	8.50484	6	8	12	7	10	6	11.8	159	141	141	0.0507737	-	CGND-HRA-00089
chr9	35384314	35385723	UNC13B	0	+	10	1	23.5597	19	24	27	26	14	24.3	13	30	30	30	0.439878	NonUniformIntronCover	CGND-HRA-00089
chr19	17627940	17629239	UNC13A	0	-	10	1	16.6286	10	18	21	8	15	6.8	19.85	203	184	184	0.0757125	NonUniformIntronCover	CGND-HRA-00090
chr9	35384314	35385723	UNC13B	0	+	10	1	20.1622	16	20	23	17	18	18.5	19.35	25	25	25	0.44644	-	CGND-HRA-00090
chr19	17627940	17629239	UNC13A	0	-	10	1	17.646	13	18	23	15	23	13	23.5	289	252	252	0.0575453	-	CGND-HRA-00091
chr9	35384314	35385723	UNC13B	0	+	10	1	17.5758	14	18	20	25	13	23.3	14.25	20	20	20	0.467742	-	CGND-HRA-00091
chr19	17627940	17629239	UNC13A	0	-	10	1	12.8182	9	11	21	13	12	10.15	13.6	196	173	173	0.0613844	-	CGND-HRA-00092
chr9	35384314	35385723	UNC13B	0	+	10	1	19.139	16	19	22	23	13	26.15	15	30	30	30	0.389487	-	CGND-HRA-00092
chr19	17627940	17629239	UNC13A	0	-	10	1	27.9807	20	28	37	31	42	31.45	37.6	86	72	72	0.245486	NonUniformIntronCover	CGND-HRA-00093
chr9	35384314	35385723	UNC13B	0	+	10	1	13.697	12	14	16	25	7	24.35	8	26	26	26	0.345038	NonUniformIntronCover	CGND-HRA-00093
chr19	17627940	17629239	UNC13A	0	-	10	1	9.853	7	9	20	10	7	9.85	6.3	112	104	104	0.0808597	-	CGND-HRA-00095
chr9	35384314	35385723	UNC13B	0	+	10	1	13.9216	11	14	17	12	11	18.7	12	17	17	17	0.450222	-	CGND-HRA-00095
chr19	17627940	17629239	UNC13A	0	-	10	1	13.8027	12	14	17	13	23	12.05	18.8	261	222	222	0.0502277	NonUniformIntronCover	CGND-HRA-00096
chr9	35384314	35385723	UNC13B	0	+	10	1	20.4135	16	20	24	16	19	19.75	19.5	30	30	30	0.404922	-	CGND-HRA-00096
chr19	17627940	17629239	UNC13A	0	-	10	1	26.7524	16	27	35	27	47	28.9	41.5	94	82	82	0.221548	NonUniformIntronCover	CGND-HRA-00097
chr9	35384314	35385723	UNC13B	0	+	10	1	7.97861	5	8	11	23	11	12.9	10	15	15	15	0.347219	NonUniformIntronCover	CGND-HRA-00097
chr19	17627940	17629239	UNC13A	0	-	10	1	31.7369	26	31	39.5	35	32	30.7	30.9	31	26	26	0.505873	-	CGND-HRA-00099
chr9	35384314	35385723	UNC13B	0	+	10	1	5.20499	3	5	7	8	6	8.95	5.1	19	19	19	0.215038	NonUniformIntronCover	CGND-HRA-00099
chr19	17627940	17629239	UNC13A	0	-	10	1	9.81238	5	11	13	4	5	4	3.7	20	18	18	0.329138	NonUniformIntronCover	CGND-HRA-00100
chr9	35384314	35385723	UNC13B	0	+	10	1	7.20856	6	7	9	9	4	8	5.85	3	3	3	0.706129	LowSplicing	CGND-HRA-00100
chr19	17627940	17629239	UNC13A	0	-	10	1	23.9342	15	22	44	7	22	10	22.3	57	55	55	0.295724	NonUniformIntronCover	CGND-HRA-00101
chr9	35384314	35385723	UNC13B	0	+	10	1	12.2496	10	12	15	14	9	10	10.75	16	16	16	0.433619	-	CGND-HRA-00101
chr19	17627940	17629239	UNC13A	0	-	10	0	0	0	0	0	0	0	0	0	0	0	0	0	LowCover	CGND-HRA-00102
chr9	35384314	35385723	UNC13B	0	+	10	0.991422	4.90374	2	5	8	12	8	9.75	2	12	12	12	0.290098	NonUniformIntronCover	CGND-HRA-00102
chr19	17627940	17629239	UNC13A	0	-	10	0.0961986	0	0	0	0	0	0	0	0	0	0	0	0	LowCover	CGND-HRA-00103
chr9	35384314	35385723	UNC13B	0	+	10	1	17.2959	15	17	21	22	16	25.15	13	51	51	51	0.253249	-	CGND-HRA-00103
chr19	17627940	17629239	UNC13A	0	-	10	1	27.118	16	28	38	18	20	14.65	26.7	38	35	35	0.416444	NonUniformIntronCover	CGND-HRA-00104
chr9	35384314	35385723	UNC13B	0	+	10	1	11.3815	10	11	13	6	13	11	13.45	17	17	17	0.401017	NonUniformIntronCover	CGND-HRA-00104
chr19	17627940	17629239	UNC13A	0	-	10	1	27.677	14	28	43	17	40	14.8	34.15	39	29	29	0.415091	MinorIsoform	CGND-HRA-00106
chr9	35384314	35385723	UNC13B	0	+	10	1	11.6221	7	12	15	15	11	10.7	9.05	11	11	11	0.51375	-	CGND-HRA-00106
chr19	17627940	17629239	UNC13A	0	-	10	1	21.1547	15	22	28	19	26	15.15	27	89	78	78	0.192046	-	CGND-HRA-00108
chr9	35384314	35385723	UNC13B	0	+	10	1	10.9715	8	11	12	7	6	9.95	6	17	17	17	0.392238	NonUniformIntronCover	CGND-HRA-00108
chr19	17627940	17629239	UNC13A	0	-	10	1	11.6151	8	12	14	13	15	13	13.25	44	39	39	0.208848	-	CGND-HRA-00110
chr9	35384314	35385723	UNC13B	0	+	10	1	8.90909	7	9	11	10	7	7.6	7	7	6	6	0.56	-	CGND-HRA-00110
chr19	17627940	17629239	UNC13A	0	-	10	1	24.0735	16	23	34	18	21	19.95	21.5	36	28	28	0.400734	-	CGND-HRA-00111
